mean_acc_A,model,params,stdev_acc_A
0.664903237456694,GaussianNB,{'selecter__k': 2},0.04228820588759378
0.6510096431794656,GaussianNB,{'selecter__k': 7},0.030720563336349378
0.6575047673431219,GaussianNB,{'selecter__k': 12},0.035001633251096946
0.6644326261355334,GaussianNB,{'selecter__k': 17},0.029997424069623035
0.6659821743838048,GaussianNB,{'selecter__k': 22},0.026104565608891368
0.6501269309207308,GaussianNB,{'selecter__k': 27},0.028460183794851376
0.6677873090504372,GaussianNB,{'selecter__k': 32},0.0331630562015388
0.6853540342362167,GaussianNB,{'selecter__k': 37},0.024521593818184216
0.6802462973356108,GaussianNB,{'selecter__k': 42},0.03140001685486573
0.65169261369918,GaussianNB,{'selecter__k': 47},0.01975988241666241
0.6586187364603777,GaussianNB,{'selecter__k': 52},0.03245994398046623
0.6690898143511043,GaussianNB,{'selecter__k': 57},0.030479331436211402
0.6710656087209842,GaussianNB,{'selecter__k': 62},0.039077497866149655
0.6435134163264239,GaussianNB,{'selecter__k': 67},0.05679256258297764
0.6295185662934655,GaussianNB,{'selecter__k': 72},0.05743098553426882
0.6336187057806993,GaussianNB,{'selecter__k': 77},0.05016554864431146
0.6386877148779876,GaussianNB,{'selecter__k': 82},0.04597153683258021
0.6441485651688392,GaussianNB,{'selecter__k': 87},0.04398611185767329
