mean_acc_A,model,params,stdev_acc_A
0.5813159166294283,KNeighborsClassifier_clean,"{'classifier__n_neighbors': 1, 'selecter__k': 2}",0.0409566128280728
0.6648323542341047,KNeighborsClassifier_clean,"{'classifier__n_neighbors': 1, 'selecter__k': 7}",0.03622422805793305
0.72170385063923,KNeighborsClassifier_clean,"{'classifier__n_neighbors': 1, 'selecter__k': 12}",0.03495375339683766
0.7764925359578279,KNeighborsClassifier_clean,"{'classifier__n_neighbors': 1, 'selecter__k': 17}",0.03157330914436198
0.8266862123210281,KNeighborsClassifier_clean,"{'classifier__n_neighbors': 1, 'selecter__k': 22}",0.03962837335242346
0.8435142577919226,KNeighborsClassifier_clean,"{'classifier__n_neighbors': 1, 'selecter__k': 27}",0.03267928198243711
0.8592383007632978,KNeighborsClassifier_clean,"{'classifier__n_neighbors': 1, 'selecter__k': 32}",0.022117753444291774
0.8446508121619019,KNeighborsClassifier_clean,"{'classifier__n_neighbors': 1, 'selecter__k': 37}",0.03816136557135416
0.8386885156565052,KNeighborsClassifier_clean,"{'classifier__n_neighbors': 1, 'selecter__k': 42}",0.014812985343303272
0.8483192553759633,KNeighborsClassifier_clean,"{'classifier__n_neighbors': 1, 'selecter__k': 47}",0.025697418028165293
0.8617427602968906,KNeighborsClassifier_clean,"{'classifier__n_neighbors': 1, 'selecter__k': 52}",0.02186130937074113
0.858831838345086,KNeighborsClassifier_clean,"{'classifier__n_neighbors': 1, 'selecter__k': 57}",0.02824862209843585
0.8670891507086209,KNeighborsClassifier_clean,"{'classifier__n_neighbors': 1, 'selecter__k': 62}",0.01898289357337132
0.8673871674423166,KNeighborsClassifier_clean,"{'classifier__n_neighbors': 1, 'selecter__k': 67}",0.013847577932729109
0.8708930692853485,KNeighborsClassifier_clean,"{'classifier__n_neighbors': 1, 'selecter__k': 72}",0.016336506932582866
0.8784947666328796,KNeighborsClassifier_clean,"{'classifier__n_neighbors': 1, 'selecter__k': 77}",0.022696246856596474
0.8762036744376992,KNeighborsClassifier_clean,"{'classifier__n_neighbors': 1, 'selecter__k': 82}",0.023441748606385194
0.8752253744736661,KNeighborsClassifier_clean,"{'classifier__n_neighbors': 1, 'selecter__k': 87}",0.02449422681494719
