mean_acc_A,model,params,stdev_acc_A
0.6127438141616133,KNeighborsClassifier,"{'classifier__n_neighbors': 1, 'selecter__k': 2}",0.049482448826045175
0.6864185756876213,KNeighborsClassifier,"{'classifier__n_neighbors': 1, 'selecter__k': 7}",0.03654815886351863
0.8000173158148953,KNeighborsClassifier,"{'classifier__n_neighbors': 1, 'selecter__k': 12}",0.029416213244311117
0.7905015119017917,KNeighborsClassifier,"{'classifier__n_neighbors': 1, 'selecter__k': 17}",0.04230822048580245
0.8186108645871562,KNeighborsClassifier,"{'classifier__n_neighbors': 1, 'selecter__k': 22}",0.02851828707081643
0.8335394759901897,KNeighborsClassifier,"{'classifier__n_neighbors': 1, 'selecter__k': 27}",0.03673419326893802
0.8286540200237544,KNeighborsClassifier,"{'classifier__n_neighbors': 1, 'selecter__k': 32}",0.03276545546328529
0.855076550464572,KNeighborsClassifier,"{'classifier__n_neighbors': 1, 'selecter__k': 37}",0.026394528598603667
0.876076549341283,KNeighborsClassifier,"{'classifier__n_neighbors': 1, 'selecter__k': 42}",0.022554689527139262
0.8682759799078859,KNeighborsClassifier,"{'classifier__n_neighbors': 1, 'selecter__k': 47}",0.032747427593072635
0.8646649847798691,KNeighborsClassifier,"{'classifier__n_neighbors': 1, 'selecter__k': 52}",0.036285997341724045
0.8660030187236591,KNeighborsClassifier,"{'classifier__n_neighbors': 1, 'selecter__k': 57}",0.03151291401646375
0.8628315663026571,KNeighborsClassifier,"{'classifier__n_neighbors': 1, 'selecter__k': 62}",0.029388414591556767
0.8831132124529135,KNeighborsClassifier,"{'classifier__n_neighbors': 1, 'selecter__k': 67}",0.03624006344844645
0.8773359001506519,KNeighborsClassifier,"{'classifier__n_neighbors': 1, 'selecter__k': 72}",0.03605396000854625
0.8770462224565861,KNeighborsClassifier,"{'classifier__n_neighbors': 1, 'selecter__k': 77}",0.039990089074141186
0.8762348356598293,KNeighborsClassifier,"{'classifier__n_neighbors': 1, 'selecter__k': 82}",0.03741570257332852
0.8796039235886044,KNeighborsClassifier,"{'classifier__n_neighbors': 1, 'selecter__k': 87}",0.03142052519592017
0.6032879058376738,KNeighborsClassifier,"{'classifier__n_neighbors': 2, 'selecter__k': 2}",0.0458138035952841
0.6783223150451188,KNeighborsClassifier,"{'classifier__n_neighbors': 2, 'selecter__k': 7}",0.028291607352706066
0.7688084125056182,KNeighborsClassifier,"{'classifier__n_neighbors': 2, 'selecter__k': 12}",0.03758184035967806
0.7821423069129985,KNeighborsClassifier,"{'classifier__n_neighbors': 2, 'selecter__k': 17}",0.044658374899815355
0.8157444799877072,KNeighborsClassifier,"{'classifier__n_neighbors': 2, 'selecter__k': 22}",0.036170741510350525
0.8479683498796952,KNeighborsClassifier,"{'classifier__n_neighbors': 2, 'selecter__k': 27}",0.02446600234665631
0.8499313826104563,KNeighborsClassifier,"{'classifier__n_neighbors': 2, 'selecter__k': 32}",0.03637746340945438
0.8634466110349609,KNeighborsClassifier,"{'classifier__n_neighbors': 2, 'selecter__k': 37}",0.027403576071031662
0.8786963178685978,KNeighborsClassifier,"{'classifier__n_neighbors': 2, 'selecter__k': 42}",0.028431368036281577
0.864016403986749,KNeighborsClassifier,"{'classifier__n_neighbors': 2, 'selecter__k': 47}",0.03134903424263886
0.8661391119036088,KNeighborsClassifier,"{'classifier__n_neighbors': 2, 'selecter__k': 52}",0.04151699758007603
0.8713429776258688,KNeighborsClassifier,"{'classifier__n_neighbors': 2, 'selecter__k': 57}",0.02752851746805174
0.8839358582871342,KNeighborsClassifier,"{'classifier__n_neighbors': 2, 'selecter__k': 62}",0.024375004000337666
0.8943603723886678,KNeighborsClassifier,"{'classifier__n_neighbors': 2, 'selecter__k': 67}",0.03290752386258545
0.8963848303066618,KNeighborsClassifier,"{'classifier__n_neighbors': 2, 'selecter__k': 72}",0.027316371960230144
0.8941584951226068,KNeighborsClassifier,"{'classifier__n_neighbors': 2, 'selecter__k': 77}",0.03134262254452439
0.8890240547235736,KNeighborsClassifier,"{'classifier__n_neighbors': 2, 'selecter__k': 82}",0.03658999352542928
0.8906613287977723,KNeighborsClassifier,"{'classifier__n_neighbors': 2, 'selecter__k': 87}",0.027886088166233634
0.622190524117566,KNeighborsClassifier,"{'classifier__n_neighbors': 3, 'selecter__k': 2}",0.028559171330166045
0.712346910246264,KNeighborsClassifier,"{'classifier__n_neighbors': 3, 'selecter__k': 7}",0.045399960662562244
0.7834552123478764,KNeighborsClassifier,"{'classifier__n_neighbors': 3, 'selecter__k': 12}",0.0295355264725609
0.794579867880556,KNeighborsClassifier,"{'classifier__n_neighbors': 3, 'selecter__k': 17}",0.05172752680631878
0.8324231044050135,KNeighborsClassifier,"{'classifier__n_neighbors': 3, 'selecter__k': 22}",0.029741981871618473
0.8417547633526347,KNeighborsClassifier,"{'classifier__n_neighbors': 3, 'selecter__k': 27}",0.029292236566435557
0.8514422959673577,KNeighborsClassifier,"{'classifier__n_neighbors': 3, 'selecter__k': 32}",0.031729545207249105
0.8620706801301649,KNeighborsClassifier,"{'classifier__n_neighbors': 3, 'selecter__k': 37}",0.03893416435806889
0.8694773170421337,KNeighborsClassifier,"{'classifier__n_neighbors': 3, 'selecter__k': 42}",0.028461830540906827
0.8498060495452886,KNeighborsClassifier,"{'classifier__n_neighbors': 3, 'selecter__k': 47}",0.0428336044020438
0.8733528545423286,KNeighborsClassifier,"{'classifier__n_neighbors': 3, 'selecter__k': 52}",0.043262135071802335
0.8699846391427566,KNeighborsClassifier,"{'classifier__n_neighbors': 3, 'selecter__k': 57}",0.04582140138251948
0.8725569871492616,KNeighborsClassifier,"{'classifier__n_neighbors': 3, 'selecter__k': 62}",0.03442445245095593
0.8800252615152183,KNeighborsClassifier,"{'classifier__n_neighbors': 3, 'selecter__k': 67}",0.030992956944098447
0.8775132128092321,KNeighborsClassifier,"{'classifier__n_neighbors': 3, 'selecter__k': 72}",0.03523672772166073
0.8850575085654064,KNeighborsClassifier,"{'classifier__n_neighbors': 3, 'selecter__k': 77}",0.032130877390756825
0.8770494965595066,KNeighborsClassifier,"{'classifier__n_neighbors': 3, 'selecter__k': 82}",0.027793649528541634
0.8734555828374613,KNeighborsClassifier,"{'classifier__n_neighbors': 3, 'selecter__k': 87}",0.02537082793041576
0.6334024420661238,KNeighborsClassifier,"{'classifier__n_neighbors': 4, 'selecter__k': 2}",0.03433616084406565
0.7081699185265008,KNeighborsClassifier,"{'classifier__n_neighbors': 4, 'selecter__k': 7}",0.04873575623079064
0.7927459265926683,KNeighborsClassifier,"{'classifier__n_neighbors': 4, 'selecter__k': 12}",0.03116467828054472
0.7920857936338315,KNeighborsClassifier,"{'classifier__n_neighbors': 4, 'selecter__k': 17}",0.04267152343650164
0.8412058813801134,KNeighborsClassifier,"{'classifier__n_neighbors': 4, 'selecter__k': 22}",0.03207106095909609
0.8611572165715988,KNeighborsClassifier,"{'classifier__n_neighbors': 4, 'selecter__k': 27}",0.028692121939550053
0.8619799459925075,KNeighborsClassifier,"{'classifier__n_neighbors': 4, 'selecter__k': 32}",0.0381156956026113
