mean_acc_A,model,params,stdev_acc_A
0.6608018163636844,LogisticRegression,"{'classifier__C': 0.001, 'selecter__k': 2}",0.034614492110387536
0.6556145238420356,LogisticRegression,"{'classifier__C': 0.001, 'selecter__k': 7}",0.03857183660591312
0.6614849239945223,LogisticRegression,"{'classifier__C': 0.001, 'selecter__k': 12}",0.025460614900520536
0.6713287890091186,LogisticRegression,"{'classifier__C': 0.001, 'selecter__k': 17}",0.030277260342505354
0.6724874133457592,LogisticRegression,"{'classifier__C': 0.001, 'selecter__k': 22}",0.023351816142966726
0.6655377023615727,LogisticRegression,"{'classifier__C': 0.001, 'selecter__k': 27}",0.03528501565631682
0.6687303470525506,LogisticRegression,"{'classifier__C': 0.001, 'selecter__k': 32}",0.025081246537929702
0.6719094471232482,LogisticRegression,"{'classifier__C': 0.001, 'selecter__k': 37}",0.03168354947396169
0.6708244873558373,LogisticRegression,"{'classifier__C': 0.001, 'selecter__k': 42}",0.032379471193181034
0.6688975415063453,LogisticRegression,"{'classifier__C': 0.001, 'selecter__k': 47}",0.03573147334992282
0.666585141627432,LogisticRegression,"{'classifier__C': 0.001, 'selecter__k': 52}",0.028826690558332597
0.6660207405492886,LogisticRegression,"{'classifier__C': 0.001, 'selecter__k': 57}",0.026685704445141012
0.6766211930897469,LogisticRegression,"{'classifier__C': 0.001, 'selecter__k': 62}",0.03049633719481429
0.6843425982223573,LogisticRegression,"{'classifier__C': 0.001, 'selecter__k': 67}",0.03158729862260719
0.687819241524275,LogisticRegression,"{'classifier__C': 0.001, 'selecter__k': 72}",0.03155991992883543
0.6884929874886295,LogisticRegression,"{'classifier__C': 0.001, 'selecter__k': 77}",0.02851991691996225
0.6864652315371401,LogisticRegression,"{'classifier__C': 0.001, 'selecter__k': 82}",0.028365310269661232
0.689555787330697,LogisticRegression,"{'classifier__C': 0.001, 'selecter__k': 87}",0.02816991701064999
0.6564462517978557,LogisticRegression,"{'classifier__C': 0.01, 'selecter__k': 2}",0.03837997266597936
0.6721663213216434,LogisticRegression,"{'classifier__C': 0.01, 'selecter__k': 7}",0.038328954500904025
0.6702336724584508,LogisticRegression,"{'classifier__C': 0.01, 'selecter__k': 12}",0.01864321818869835
0.681850579833446,LogisticRegression,"{'classifier__C': 0.01, 'selecter__k': 17}",0.020549794755981694
0.6872489023847906,LogisticRegression,"{'classifier__C': 0.01, 'selecter__k': 22}",0.01861076164932307
0.698326570744457,LogisticRegression,"{'classifier__C': 0.01, 'selecter__k': 27}",0.02836488077225548
0.6990931266748149,LogisticRegression,"{'classifier__C': 0.01, 'selecter__k': 32}",0.029947375532832457
0.7066213985264943,LogisticRegression,"{'classifier__C': 0.01, 'selecter__k': 37}",0.02599978874308491
0.7071766434345154,LogisticRegression,"{'classifier__C': 0.01, 'selecter__k': 42}",0.024906745742261014
0.7172887703650375,LogisticRegression,"{'classifier__C': 0.01, 'selecter__k': 47}",0.025651005817272556
0.7180006463793079,LogisticRegression,"{'classifier__C': 0.01, 'selecter__k': 52}",0.016954847346676273
0.7186996171710097,LogisticRegression,"{'classifier__C': 0.01, 'selecter__k': 57}",0.02587421805863361
0.7178253532568672,LogisticRegression,"{'classifier__C': 0.01, 'selecter__k': 62}",0.027610340138580894
0.7217743520441483,LogisticRegression,"{'classifier__C': 0.01, 'selecter__k': 67}",0.025824577892080626
0.7217776500776437,LogisticRegression,"{'classifier__C': 0.01, 'selecter__k': 72}",0.02516975529827401
0.7222573902318642,LogisticRegression,"{'classifier__C': 0.01, 'selecter__k': 77}",0.021250825490929257
0.7187631604270345,LogisticRegression,"{'classifier__C': 0.01, 'selecter__k': 82}",0.01962567658562309
0.7237721512164449,LogisticRegression,"{'classifier__C': 0.01, 'selecter__k': 87}",0.02294748814668627
0.6604884223626986,LogisticRegression,"{'classifier__C': 0.10000000000000001, 'selecter__k': 2}",0.0421028731453199
0.672020548862828,LogisticRegression,"{'classifier__C': 0.10000000000000001, 'selecter__k': 7}",0.03872473814132639
0.6670260047741804,LogisticRegression,"{'classifier__C': 0.10000000000000001, 'selecter__k': 12}",0.027581044968573075
0.6889698902516324,LogisticRegression,"{'classifier__C': 0.10000000000000001, 'selecter__k': 17}",0.020457763587258097
0.7089452074986475,LogisticRegression,"{'classifier__C': 0.10000000000000001, 'selecter__k': 22}",0.018915547643475594
0.7160715466929048,LogisticRegression,"{'classifier__C': 0.10000000000000001, 'selecter__k': 27}",0.02679122950922588
0.7175260145938065,LogisticRegression,"{'classifier__C': 0.10000000000000001, 'selecter__k': 32}",0.016875835644250835
0.72777999145532,LogisticRegression,"{'classifier__C': 0.10000000000000001, 'selecter__k': 37}",0.02273576869535608
0.7228498839740549,LogisticRegression,"{'classifier__C': 0.10000000000000001, 'selecter__k': 42}",0.021773133458740195
0.7287181362084026,LogisticRegression,"{'classifier__C': 0.10000000000000001, 'selecter__k': 47}",0.026880683598118835
0.7231246577315673,LogisticRegression,"{'classifier__C': 0.10000000000000001, 'selecter__k': 52}",0.02209975664580608
0.7265092349166176,LogisticRegression,"{'classifier__C': 0.10000000000000001, 'selecter__k': 57}",0.025696884189312996
0.7329817838615181,LogisticRegression,"{'classifier__C': 0.10000000000000001, 'selecter__k': 62}",0.02914886331864576
0.7382927181698509,LogisticRegression,"{'classifier__C': 0.10000000000000001, 'selecter__k': 67}",0.029016554379127743
0.7405089295284158,LogisticRegression,"{'classifier__C': 0.10000000000000001, 'selecter__k': 72}",0.026079680577736828
0.7414728639044806,LogisticRegression,"{'classifier__C': 0.10000000000000001, 'selecter__k': 77}",0.0273128991067224
0.7459029621622548,LogisticRegression,"{'classifier__C': 0.10000000000000001, 'selecter__k': 82}",0.024734223462783478
0.7520843068808598,LogisticRegression,"{'classifier__C': 0.10000000000000001, 'selecter__k': 87}",0.0244176229853817
0.6609677562506984,LogisticRegression,"{'classifier__C': 1.0, 'selecter__k': 2}",0.04136036172761429
0.6735463988159819,LogisticRegression,"{'classifier__C': 1.0, 'selecter__k': 7}",0.0415183430875589
0.6647377094566049,LogisticRegression,"{'classifier__C': 1.0, 'selecter__k': 12}",0.031672136601365836
0.6930460296289525,LogisticRegression,"{'classifier__C': 1.0, 'selecter__k': 17}",0.026488584300249567
0.7153090027958312,LogisticRegression,"{'classifier__C': 1.0, 'selecter__k': 22}",0.017312684160912306
0.7166586184140362,LogisticRegression,"{'classifier__C': 1.0, 'selecter__k': 27}",0.02583795401005923
0.7203867108274513,LogisticRegression,"{'classifier__C': 1.0, 'selecter__k': 32}",0.030895865347504967
0.7304739800222398,LogisticRegression,"{'classifier__C': 1.0, 'selecter__k': 37}",0.022575523975667425
0.7259603473233919,LogisticRegression,"{'classifier__C': 1.0, 'selecter__k': 42}",0.014886923604900648
0.734981121403589,LogisticRegression,"{'classifier__C': 1.0, 'selecter__k': 47}",0.03189942671657359
0.7303440822637649,LogisticRegression,"{'classifier__C': 1.0, 'selecter__k': 52}",0.02868905658997639
0.7359614082398721,LogisticRegression,"{'classifier__C': 1.0, 'selecter__k': 57}",0.02333262519008073
0.7403925521615786,LogisticRegression,"{'classifier__C': 1.0, 'selecter__k': 62}",0.02931796675435571
0.7430731993903624,LogisticRegression,"{'classifier__C': 1.0, 'selecter__k': 67}",0.027947624629969834
0.7378592903634618,LogisticRegression,"{'classifier__C': 1.0, 'selecter__k': 72}",0.019752738681651522
0.744616384703134,LogisticRegression,"{'classifier__C': 1.0, 'selecter__k': 77}",0.019805779025678812
