mean_acc_A,model,params,stdev_acc_A
0.8149629281030512,RandomForestClassifier,"{'selecter__k': 85, 'classifier__n_estimators': 31}",0.03676354347480972
0.8202332468604135,RandomForestClassifier,"{'selecter__k': 80, 'classifier__n_estimators': 33}",0.03579985759273274
0.8087885170343524,RandomForestClassifier,"{'selecter__k': 86, 'classifier__n_estimators': 30}",0.04219708875033841
0.815334240354926,RandomForestClassifier,"{'selecter__k': 88, 'classifier__n_estimators': 30}",0.04597580104852156
0.8228536995381703,RandomForestClassifier,"{'selecter__k': 78, 'classifier__n_estimators': 33}",0.04344117557593453
0.8175766295908906,RandomForestClassifier,"{'selecter__k': 84, 'classifier__n_estimators': 34}",0.04816614266367138
0.8161095402704137,RandomForestClassifier,"{'selecter__k': 85, 'classifier__n_estimators': 32}",0.03676164772337111
0.8167014126266957,RandomForestClassifier,"{'selecter__k': 85, 'classifier__n_estimators': 33}",0.03798431406185459
0.8240403117893664,RandomForestClassifier,"{'selecter__k': 72, 'classifier__n_estimators': 32}",0.04365042295778637
0.8121685114717117,RandomForestClassifier,"{'selecter__k': 70, 'classifier__n_estimators': 30}",0.03916788664976449
0.8207296323050375,RandomForestClassifier,"{'selecter__k': 77, 'classifier__n_estimators': 30}",0.040039314337532564
0.8218794141238963,RandomForestClassifier,"{'selecter__k': 75, 'classifier__n_estimators': 33}",0.03849964977113918
0.8069526338782412,RandomForestClassifier,"{'selecter__k': 70, 'classifier__n_estimators': 29}",0.042682714280473995
0.8153625602316924,RandomForestClassifier,"{'selecter__k': 88, 'classifier__n_estimators': 31}",0.04439500291642765
0.8165795448535615,RandomForestClassifier,"{'selecter__k': 77, 'classifier__n_estimators': 27}",0.04040935486732604
0.8166128981989021,RandomForestClassifier,"{'selecter__k': 87, 'classifier__n_estimators': 32}",0.03927218563472054
0.8127307407011412,RandomForestClassifier,"{'selecter__k': 83, 'classifier__n_estimators': 27}",0.03998172817630314
0.8107244008258591,RandomForestClassifier,"{'selecter__k': 88, 'classifier__n_estimators': 29}",0.04174628309967092
0.8150393259101423,RandomForestClassifier,"{'selecter__k': 74, 'classifier__n_estimators': 29}",0.040628170938155884
0.8300228441439148,RandomForestClassifier,"{'selecter__k': 73, 'classifier__n_estimators': 32}",0.04978183812104367
0.8092899063962713,RandomForestClassifier,"{'selecter__k': 86, 'classifier__n_estimators': 31}",0.04252661243775971
0.81389069420664,RandomForestClassifier,"{'selecter__k': 87, 'classifier__n_estimators': 30}",0.04673857198250722
0.8304684423509285,RandomForestClassifier,"{'selecter__k': 76, 'classifier__n_estimators': 32}",0.047217086440081255
0.8236389383068745,RandomForestClassifier,"{'selecter__k': 76, 'classifier__n_estimators': 27}",0.05067654615556036
0.8177170275917289,RandomForestClassifier,"{'selecter__k': 71, 'classifier__n_estimators': 33}",0.05001847589783558
0.8119852483606917,RandomForestClassifier,"{'selecter__k': 86, 'classifier__n_estimators': 34}",0.04159327550843756
0.8235623853768571,RandomForestClassifier,"{'selecter__k': 81, 'classifier__n_estimators': 27}",0.04295590766826501
0.8249493722924595,RandomForestClassifier,"{'selecter__k': 75, 'classifier__n_estimators': 30}",0.03866041980009074
0.8280557191570876,RandomForestClassifier,"{'selecter__k': 76, 'classifier__n_estimators': 34}",0.04824887932908235
0.8137054323816356,RandomForestClassifier,"{'selecter__k': 70, 'classifier__n_estimators': 32}",0.03769130474870076
0.8142026605061156,RandomForestClassifier,"{'selecter__k': 79, 'classifier__n_estimators': 31}",0.04406382397355715
0.8171712198464716,RandomForestClassifier,"{'selecter__k': 78, 'classifier__n_estimators': 27}",0.04275605729345217
0.8132720794753915,RandomForestClassifier,"{'selecter__k': 71, 'classifier__n_estimators': 27}",0.04582116794945026
0.8216244251608692,RandomForestClassifier,"{'selecter__k': 78, 'classifier__n_estimators': 31}",0.04489546063491568
0.8232702041699345,RandomForestClassifier,"{'selecter__k': 81, 'classifier__n_estimators': 33}",0.041711118583942934
0.8161360140438376,RandomForestClassifier,"{'selecter__k': 85, 'classifier__n_estimators': 27}",0.04078200789917479
0.8245185228990722,RandomForestClassifier,"{'selecter__k': 81, 'classifier__n_estimators': 28}",0.04105867392528214
0.824134197566717,RandomForestClassifier,"{'selecter__k': 82, 'classifier__n_estimators': 27}",0.04103780357221757
0.8093838067789372,RandomForestClassifier,"{'selecter__k': 87, 'classifier__n_estimators': 27}",0.046624529729083895
0.8167271543885278,RandomForestClassifier,"{'selecter__k': 84, 'classifier__n_estimators': 33}",0.04851449413266392
0.8176490153646973,RandomForestClassifier,"{'selecter__k': 80, 'classifier__n_estimators': 29}",0.03997042669658047
0.8144633223354286,RandomForestClassifier,"{'selecter__k': 70, 'classifier__n_estimators': 28}",0.041233341944588955
0.816172031943734,RandomForestClassifier,"{'selecter__k': 71, 'classifier__n_estimators': 30}",0.05200662576309081
0.8133953364141452,RandomForestClassifier,"{'selecter__k': 83, 'classifier__n_estimators': 29}",0.04085300909869694
0.8124672110351283,RandomForestClassifier,"{'selecter__k': 84, 'classifier__n_estimators': 29}",0.049973157066306124
0.8214427125126544,RandomForestClassifier,"{'selecter__k': 81, 'classifier__n_estimators': 29}",0.040794595562158004
