mean_acc_A,model,params,stdev_acc_A
0.5,SVClinear,"{'classifier__C': 1.0000000000000001e-05, 'classifier__kernel': 'linear', 'selecter__k': 2}",0.0
0.5,SVClinear,"{'classifier__C': 1.0000000000000001e-05, 'classifier__kernel': 'linear', 'selecter__k': 7}",0.0
0.5,SVClinear,"{'classifier__C': 1.0000000000000001e-05, 'classifier__kernel': 'linear', 'selecter__k': 12}",0.0
0.5,SVClinear,"{'classifier__C': 1.0000000000000001e-05, 'classifier__kernel': 'linear', 'selecter__k': 17}",0.0
0.5,SVClinear,"{'classifier__C': 1.0000000000000001e-05, 'classifier__kernel': 'linear', 'selecter__k': 22}",0.0
0.5,SVClinear,"{'classifier__C': 1.0000000000000001e-05, 'classifier__kernel': 'linear', 'selecter__k': 27}",0.0
0.5,SVClinear,"{'classifier__C': 1.0000000000000001e-05, 'classifier__kernel': 'linear', 'selecter__k': 32}",0.0
0.5,SVClinear,"{'classifier__C': 1.0000000000000001e-05, 'classifier__kernel': 'linear', 'selecter__k': 37}",0.0
0.5,SVClinear,"{'classifier__C': 1.0000000000000001e-05, 'classifier__kernel': 'linear', 'selecter__k': 42}",0.0
0.5,SVClinear,"{'classifier__C': 1.0000000000000001e-05, 'classifier__kernel': 'linear', 'selecter__k': 47}",0.0
0.5,SVClinear,"{'classifier__C': 1.0000000000000001e-05, 'classifier__kernel': 'linear', 'selecter__k': 52}",0.0
0.5,SVClinear,"{'classifier__C': 1.0000000000000001e-05, 'classifier__kernel': 'linear', 'selecter__k': 57}",0.0
0.5,SVClinear,"{'classifier__C': 1.0000000000000001e-05, 'classifier__kernel': 'linear', 'selecter__k': 62}",0.0
0.5,SVClinear,"{'classifier__C': 1.0000000000000001e-05, 'classifier__kernel': 'linear', 'selecter__k': 67}",0.0
0.5,SVClinear,"{'classifier__C': 1.0000000000000001e-05, 'classifier__kernel': 'linear', 'selecter__k': 72}",0.0
0.5,SVClinear,"{'classifier__C': 1.0000000000000001e-05, 'classifier__kernel': 'linear', 'selecter__k': 77}",0.0
0.5,SVClinear,"{'classifier__C': 1.0000000000000001e-05, 'classifier__kernel': 'linear', 'selecter__k': 82}",0.0
0.5,SVClinear,"{'classifier__C': 1.0000000000000001e-05, 'classifier__kernel': 'linear', 'selecter__k': 87}",0.0
0.5,SVClinear,"{'classifier__C': 0.0001, 'classifier__kernel': 'linear', 'selecter__k': 2}",0.0
0.5,SVClinear,"{'classifier__C': 0.0001, 'classifier__kernel': 'linear', 'selecter__k': 7}",0.0
0.5,SVClinear,"{'classifier__C': 0.0001, 'classifier__kernel': 'linear', 'selecter__k': 12}",0.0
0.5,SVClinear,"{'classifier__C': 0.0001, 'classifier__kernel': 'linear', 'selecter__k': 17}",0.0
0.5,SVClinear,"{'classifier__C': 0.0001, 'classifier__kernel': 'linear', 'selecter__k': 22}",0.0
0.5,SVClinear,"{'classifier__C': 0.0001, 'classifier__kernel': 'linear', 'selecter__k': 27}",0.0
0.5,SVClinear,"{'classifier__C': 0.0001, 'classifier__kernel': 'linear', 'selecter__k': 32}",0.0
0.5,SVClinear,"{'classifier__C': 0.0001, 'classifier__kernel': 'linear', 'selecter__k': 37}",0.0
0.5,SVClinear,"{'classifier__C': 0.0001, 'classifier__kernel': 'linear', 'selecter__k': 42}",0.0
0.5,SVClinear,"{'classifier__C': 0.0001, 'classifier__kernel': 'linear', 'selecter__k': 47}",0.0
0.5,SVClinear,"{'classifier__C': 0.0001, 'classifier__kernel': 'linear', 'selecter__k': 52}",0.0
0.5,SVClinear,"{'classifier__C': 0.0001, 'classifier__kernel': 'linear', 'selecter__k': 57}",0.0
0.5,SVClinear,"{'classifier__C': 0.0001, 'classifier__kernel': 'linear', 'selecter__k': 62}",0.0
