name,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,spkID,genderclass,class
'm006_rabat_d5_01.wav',31.23358,0.2623058,26.59388,30.090259999999997,34.11197,7.518097,316.5951,610.7935,267.6818,536.3358,0.5019202,0.9679026,0.03790621,0.40743720000000005,0.8654765999999999,0.8275703999999999,8.883235,4.7608239999999995,9.153626,7.042692,0.29308649999999997,1.1357629999999999,17.58698,1.104738,8.925734,1.465201,12.429269999999999,1.195774,5.8651599999999995,2.157726,0.04980842,1.705875,1.467651,0.9763213,5.818114,0.9182950999999999,8.957995,1.165283,22.456570000000003,0.7506414,555.8649,0.44489579999999995,1238.478,0.2373837,-102.2542,-0.8879935999999999,1538.81,0.201425,936.3533,0.40148459999999997,-104.3204,-0.8116765,2621.209,0.11283510000000001,756.9888,0.4762738,-105.9462,-0.7698143,-15.747860000000001,-0.7018383,25.91912,0.4844385,0.003639644,12.44485,-0.008974364,-1.2493889999999999,0.4467574,0.7668251,27.69483,0.6409239000000001,8.659409,1.57856,15.43435,1.0711760000000001,3.4661589999999998,4.0855120000000005,-15.476420000000001,25.76844,-0.004807367,0.01121451,0.1333855,2.910414,2.643574,0.2010345,0.2093313,0.1804,0.2865027,-30.145870000000002,6,mhigh,high
'm006_rabat_d5_02.wav',31.31265,0.2050025,27.27562,31.13765,34.80304,7.527419999999999,90.15386,78.50046999999999,223.4587,195.4631,0.3881844,1.2683959999999999,0.02491399,0.09813786,0.7765557,0.7516418,8.811587,6.061565,8.629389999999999,5.231811,0.2532379,1.3705889999999998,15.194,1.043331,11.66014,1.090727,13.367360000000001,1.077871,11.00566,1.069017,0.05305148,1.4332280000000002,1.356981,1.01015,6.675552000000001,0.7374543,10.79016,1.122,23.04354,0.43950649999999997,563.1157,0.4344459,1205.97,0.2434933,-132.4122,-0.6628807,1617.455,0.17898429999999999,872.8774,0.5038642,-131.5496,-0.629637,2652.316,0.1178758,791.5804,0.42271790000000004,-132.0859,-0.6157341,-17.46973,-0.5650955,26.97135,0.3972985,0.007052179,6.831847,-0.007197945999999999,-1.443542,0.5327795,0.7192158000000001,27.96675,0.49855379999999994,10.458839999999999,1.507996,17.93252,1.020019,6.96968,1.9737529999999999,-24.51897,35.98809,-0.02782317,0.01178006,0.07758404,2.228286,1.5503879999999999,0.25352939999999996,0.1870338,0.4058065,0.46214620000000006,-30.21316,6,mhigh,high
'm006_rabat_d5_03.wav',32.08952,0.21041289999999999,27.79275,31.727190000000004,35.72678,7.934029,277.9886,632.4816,139.8396,163.4526,0.4657553,1.090071,0.03052744,0.3077244,0.8727239,0.8421965,9.137039999999999,5.521852,7.596599,4.6026419999999995,0.2836635,1.182149,17.88474,1.046986,11.44454,1.043464,12.31339,1.0828799999999998,5.735995,2.1551810000000002,0.04493576,1.59227,1.2724719999999998,1.003279,7.08723,0.6924053000000001,10.50868,1.040549,24.29541,0.47485420000000006,597.6058,0.4259385,1256.843,0.2458188,-114.102,-0.7868816999999999,1615.726,0.2044072,957.7562,0.428518,-111.8885,-0.7551011999999999,2668.8779999999997,0.11637910000000001,759.7449,0.4303484,-113.678,-0.7159865,-16.82658,-0.607345,27.84153,0.3962941,0.01406493,3.490657,-0.0090857,-1.245949,0.4808117,0.7178449,29.72005,0.5252233000000001,9.337875,1.395252,14.82034,1.05603,1.8997389999999998,7.2205520000000005,-21.24006,32.06447,-0.0155966,0.009741725,0.09777513,2.590194,2.132591,0.2330435,0.19010139999999998,0.2297674,0.38113959999999997,-29.06304,6,mhigh,high
'm006_rabat_d6_01.wav',32.86148,0.20911929999999998,28.245040000000003,32.854490000000006,37.0621,8.817057,299.9607,709.5212,171.5547,308.1112,0.5899118,1.034017,0.0193764,0.4620177,1.049425,1.0300479999999999,11.76677,7.6079479999999995,11.71865,7.196492,0.3882763,1.192257,16.6395,1.0755299999999999,7.460201,1.8171680000000001,11.870330000000001,1.2951219999999999,4.043196,3.006016,0.06293747,1.711889,1.295375,1.038842,7.012457,0.7100901999999999,8.090034,1.575618,18.8165,0.6491996,564.0452,0.4212305,1216.502,0.2281179,-106.9984,-0.8504583,1576.134,0.19249549999999999,880.4872,0.4148495,-104.0565,-0.8166569,2632.258,0.10770910000000002,740.1738,0.4642505,-104.9753,-0.7930174,-15.82345,-0.6034706999999999,25.08496,0.4181897,0.01418531,3.194488,-0.01210974,-0.8205382999999999,0.6386555,0.7475073,26.711440000000003,0.5833435,6.055319,2.4259459999999997,13.48758,1.365646,0.6736091,18.94057,-19.23807,29.46827,0.009461871,0.01222002,0.11722529999999999,3.17834,1.7709560000000002,0.3046667,0.2488203,0.24724139999999997,0.41985950000000005,-27.91848,6,mhigh,high
'm006_rabat_d6_02.wav',31.04583,0.24988960000000002,26.29376,29.8059,33.766020000000005,7.4722610000000005,191.9264,177.29,113.4793,108.611,0.4077639,1.2413530000000002,0.002546135,0.22040869999999999,0.756015,0.7534689,9.677142,6.737566,7.622649000000001,4.801239,0.2596836,1.387993,14.284220000000001,1.2505879999999998,12.36998,1.0767719999999998,15.61346,1.0274809999999999,8.833681,1.467961,0.06471359,1.702019,1.2565870000000001,0.9729504999999999,6.365254,0.7446901,12.83455,0.8703414,23.87667,0.4859295,543.8024,0.448471,1184.986,0.2416808,-121.5906,-0.7341688,1630.851,0.19384110000000002,835.6837,0.513944,-121.2398,-0.6835142,2657.469,0.11267850000000001,800.7286,0.44151409999999996,-120.6822,-0.6838192,-18.77831,-0.5999741999999999,27.020190000000003,0.4502630999999999,-0.00871526,-6.000734,-0.01047204,-1.043034,0.4784906,0.8371815999999999,25.69144,0.6632676,14.02926,1.080956,23.20844,0.7813265,8.087927,1.87696,-21.886470000000003,32.45599,0.014493,0.01330769,0.10147350000000001,2.354326,1.890136,0.2396875,0.1853625,0.3174074,0.4775445,-29.62095,6,mhigh,high
'm006_rabat_d6_03.wav',31.247190000000003,0.17843689999999998,27.56278,29.87101,36.68676,9.123975999999999,118.5419,102.1659,82.60925,73.63599,0.3593322,1.19466,0.03170099,0.14232170000000002,0.7225216,0.6908206,7.473385,5.582495,7.253500999999999,5.041821,0.2175748,1.356378,14.274460000000001,1.123607,12.191939999999999,1.0110540000000001,15.51845,0.9273383,9.695553,1.215841,0.05377806,1.6159700000000001,1.2191670000000001,1.038478,7.371767999999999,0.6225821,10.604989999999999,0.9986448,23.052979999999998,0.4533134,575.3484,0.4451302,1222.181,0.2413904,-132.4533,-0.6621262,1665.07,0.184635,854.934,0.4591138,-131.0586,-0.6284481,2700.8909999999996,0.11950999999999999,854.4904,0.47181359999999994,-131.5388,-0.6183608,-18.94736,-0.455421,27.99735,0.3313419,0.00939576,4.6760779999999995,-0.0104554,-0.9382332,0.43744799999999995,0.7288259,27.244790000000002,0.482407,11.41565,1.304203,21.46067,0.8244193000000001,5.814941,2.281961,-21.27899,32.23585,-0.03424698,0.009709856,0.07854542,2.358491,1.4192790000000002,0.27958330000000003,0.2379159,0.3884,0.43323599999999995,-31.14279,6,mhigh,high
'm006_rabat_d7_01.wav',33.76376,0.24578579999999997,28.200059999999997,33.45988,36.85927,8.659206,182.5053,207.1159,139.2668,173.7068,0.5331854,0.8929434000000002,0.03110568,0.4602871,0.9637402,0.9326344999999999,10.350769999999999,6.585691000000001,8.229045,5.5234559999999995,0.33489440000000004,1.0887790000000002,18.51726,1.0617860000000001,6.78565,1.818711,11.76342,1.2700200000000001,4.903407,2.488157,0.04240125,1.6493259999999998,1.165712,1.078255,7.517983999999999,0.7105165,10.04395,1.4784979999999999,21.54625,0.5966794,620.066,0.3723964,1265.9669999999999,0.2615631,-104.9276,-0.8584132999999999,1593.408,0.1820278,972.2335,0.3685644,-103.6969,-0.8092321,2641.558,0.09266767,782.2042,0.51912,-103.7745,-0.7885464,-16.41708,-0.6900951999999999,26.03494,0.47267890000000007,0.01229735,3.5264279999999997,-0.01123257,-1.002859,0.5235903000000001,0.6869014,29.185579999999998,0.6173744999999999,7.07158,1.921089,14.50404,1.178479,2.610343,5.085428,-15.33415,25.45041,0.02065947,0.01361086,0.13956400000000002,3.17834,2.125148,0.2569444,0.2334026,0.22258060000000002,0.3781958,-27.96708,6,mhigh,high
'm006_rabat_d7_02.wav',30.44629,0.2025406,26.322370000000003,29.8746,34.09563,7.773262,214.55,294.6391,76.06285,70.99604000000001,0.4277184,1.248524,0.02997539,0.18696429999999997,0.7843131,0.7543377,8.441104,6.195563,9.472598,6.46016,0.2837779,1.401691,17.0153,1.0200799999999999,11.186810000000001,1.197925,16.44482,0.9088930000000001,9.009947,1.36595,0.05441534,1.395565,1.104079,0.9543518,6.951008,0.6740289,11.7259,0.9160259,25.53142,0.36484099999999997,575.7791,0.42473500000000003,1241.598,0.22741260000000002,-118.7506,-0.7579628,1616.34,0.18177910000000003,953.5594,0.4285259,-120.6886,-0.69007,2652.0809999999997,0.10991569999999999,776.8278,0.5046066,-121.2123,-0.6758941999999999,-18.83636,-0.5448071,28.43965,0.379035,0.0069262180000000005,6.924022,-0.009968147,-1.0973700000000002,0.5360669,0.8196017,30.843159999999997,0.42957520000000005,10.6444,1.4865899999999999,21.03247,0.8162611999999999,5.604274,2.5180029999999998,-20.79885,31.05185,-0.02118163,0.01184852,0.07731646,2.060035,1.416765,0.3183333,0.1986971,0.3315385,0.43184480000000003,-29.378459999999997,6,mhigh,high
'm006_rabat_d7_03.wav',29.92612,0.1967057,25.33385,29.24535,35.274409999999996,9.940553999999999,192.0952,171.0253,80.96684,103.8601,0.3844296,1.183969,0.02903514,0.17343789999999998,0.7502926999999999,0.7212576,8.797635000000001,5.348033,7.457546000000001,5.804728,0.21659789999999998,1.446036,16.51456,0.9987324000000001,8.712189,1.3129979999999999,15.085820000000002,0.9005929,6.681599,1.9066419999999997,0.0408236,1.553806,1.235063,1.089394,7.04184,0.6597769,5.568403,1.516974,22.9439,0.4169383,560.5637,0.44796030000000003,1209.344,0.2030617,-127.0075,-0.7053076,1560.809,0.2084505,871.0274,0.377396,-126.9529,-0.6657454,2625.337,0.12834469999999998,715.5254,0.44174079999999993,-129.0715,-0.6347262,-16.41854,-0.5393541000000001,25.68672,0.3763698,0.01315734,3.412805,-0.008095564,-1.284567,0.43041320000000005,0.8475666,30.436890000000002,0.4191537,6.5945339999999995,1.8125930000000001,20.04606,0.8125697,0.574517,23.61426,-20.0233,30.70748,-0.02004308,0.01132238,0.07734033,2.060035,1.7119240000000002,0.2355172,0.164035,0.327931,0.4185062,-31.1751,6,mhigh,high
'm006_rabat_d8_01.wav',32.209540000000004,0.2467564,27.1421,31.46315,36.14959,9.007489999999999,299.6832,474.3857,406.2913,749.3964,0.5439208000000001,0.7633131999999999,0.1544841,0.4639109,0.8874064,0.7329223000000001,8.245352,5.3698239999999995,7.650697999999999,5.401587,0.319158,0.9298568000000001,23.252779999999998,0.8296959,9.575648,1.381348,12.73073,1.150791,4.526043,3.057204,0.06484167,2.1181389999999998,1.202107,1.057911,7.162952000000001,0.7377471,9.377619000000001,1.3691149999999999,24.41171,0.49117209999999994,601.1974,0.3922682,1273.553,0.2488636,-77.51893000000001,-1.0874059999999999,1600.882,0.21548530000000002,987.163,0.3848827,-81.71459,-0.9403283000000001,2671.145,0.10652660000000001,783.4901,0.4399055,-84.31274,-0.8755936,-18.185270000000003,-0.6377678000000001,28.94888,0.4426718,0.004477602,9.347161,-0.01181429,-0.9828957,0.4100364,0.7188148,30.562859999999997,0.56417,10.66009,1.262727,13.5608,1.183289,2.559278,5.738956,-14.556370000000001,24.43359,-0.03724496,0.008194881,0.1247404,3.5356910000000004,2.143336,0.315625,0.2474613,0.1482143,0.1771411,-28.680390000000003,6,mhigh,high
