listener_pseudonym,listener_age,listener_gender,listener_language,sample_heard,speaker_ID,speaker_pseudonym,speaker_gender,speaker_age,speaker_dim1_SC,speaker_dim2_SC,speaker_dim3_SC,speaker_dim4_SC,speaker_dim5_SC,speaker_highlow_SC,klanglos,hoch,nicht_nasal,scharf,ungleichmaessig,mit_Akzent,hell,laut,nicht_knarrend,monoton,unangenehm,undeutlich,glatt,heiser,auffaellig,langsam,warm,natuerlich,zittrig,praezise,fest,melodisch,entspannt,gleitend,kurz,gepresst,kraftlos,stockend,hart,unprofessionell,unbetont,schrill,verbunden,behaucht
Rater115,26,m,Deutsch,m061_alrayyan_stimulus.wav,061,alrayyan,m,30,3.30993599437689,3.12925746728089,1.15714350982204,0.083813831252448,0.865770773873618,high,17,18,85,58,25,6,9,85,78,15,8,12,20,10,69,66,79,88,2,64,89,90,87,87,30,10,6,4,21,59,16,10,84,6
Rater115,26,m,Deutsch,m263_andorralavella_stimulus.wav,263,andorralavella,m,26,-4.86118596358641,-1.68349991911547,0.13424320175634,-1.04523923922318,-0.502940750627259,low,74,76,40,26,23,24,51,56,82,82,77,31,81,67,14,35,17,82,16,82,66,16,14,89,80,60,38,20,37,48,60,34,25,16
Rater115,26,m,Deutsch,m171_barentsburg_stimulus.wav,171,barentsburg,m,34,-5.17597912751978,-2.54600791976611,-0.031072840709078,-0.0548962036007055,2.55167482752809,low,71,18,44,19,19,10,12,80,82,90,56,24,74,67,13,86,32,77,22,24,24,28,42,72,24,56,74,15,13,66,76,4,64,68
Rater115,26,m,Deutsch,m097_basseterre_stimulus.wav,097,basseterre,m,26,3.32596862707304,2.39731522893122,1.05451378492742,0.353837896092204,1.08525587950142,high,37,37,52,58,25,2,24,69,76,33,8,18,72,12,67,36,61,84,8,90,100,84,87,74,76,13,23,9,30,12,19,12,74,28
Rater115,26,m,Deutsch,w040_birmingham_stimulus.wav,040,birmingham,w,29,2.80689932575019,1.6389033597806,0.611937172865551,1.09080940993386,0.190048139901153,high,19,81,86,80,48,29,74,79,91,13,21,13,86,7,62,23,75,83,24,77,80,88,84,71,77,22,24,20,16,13,6,40,66,20
Rater115,26,m,Deutsch,m041_bucharest_stimulus.wav,041,bucharest,m,24,3.29284875976714,2.62051489758557,1.27680865178257,0.203365411523213,-0.195756739639662,high,17,18,30,44,8,1,15,87,22,10,0,12,20,8,85,45,70,83,4,87,91,89,90,91,60,6,7,9,29,25,8,24,92,30
Rater115,26,m,Deutsch,w240_casablanca_stimulus.wav,240,casablanca,w,23,3.21165706806201,1.48603941087551,-0.0234111476928667,0.717674566166692,-0.786731963358147,high,18,100,84,83,90,2,100,79,95,15,23,8,78,11,88,38,78,76,14,75,68,96,87,96,35,30,12,48,0,19,12,20,71,10
Rater115,26,m,Deutsch,m088_cayenne_stimulus.wav,088,cayenne,m,28,-3.2339035256007,-1.87157787825104,-1.24085902568907,1.10598349691886,-0.351959851453055,low,84,21,69,16,11,3,22,43,92,78,66,50,71,72,28,80,74,72,56,70,37,33,69,67,42,16,88,18,15,77,71,8,29,84
Rater115,26,m,Deutsch,w008_dakar_stimulus.wav,008,dakar,w,28,5.34742276303931,2.64608611408047,0.258587546163623,0.940732533964769,-0.230511815550934,high,9,92,81,90,81,3,88,94,88,10,24,5,89,4,72,33,71,74,21,85,83,91,85,87,68,28,12,15,16,14,5,16,67,80
Rater115,26,m,Deutsch,w287_dzaoudzi_stimulus.wav,287,dzaoudzi,w,22,-2.68907105149288,-1.42637902157948,-1.08315259783686,0.1187021574416,0.257022941440731,low,40,73,31,71,77,19,36,76,84,41,68,66,76,56,48,44,27,62,72,16,19,19,21,68,72,69,69,66,68,77,80,73,22,44
