"sample_heard","F0semitoneFrom27.5Hz_sma3nz_amean","F0semitoneFrom27.5Hz_sma3nz_stddevNorm","F0semitoneFrom27.5Hz_sma3nz_percentile20.0","F0semitoneFrom27.5Hz_sma3nz_percentile50.0","F0semitoneFrom27.5Hz_sma3nz_percentile80.0","F0semitoneFrom27.5Hz_sma3nz_pctlrange0.2","F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope","F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope","F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope","F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope","loudness_sma3_amean","loudness_sma3_stddevNorm","loudness_sma3_percentile20.0","loudness_sma3_percentile50.0","loudness_sma3_percentile80.0","loudness_sma3_pctlrange0.2","loudness_sma3_meanRisingSlope","loudness_sma3_stddevRisingSlope","loudness_sma3_meanFallingSlope","loudness_sma3_stddevFallingSlope","spectralFlux_sma3_amean","spectralFlux_sma3_stddevNorm","mfcc1_sma3_amean","mfcc1_sma3_stddevNorm","mfcc2_sma3_amean","mfcc2_sma3_stddevNorm","mfcc3_sma3_amean","mfcc3_sma3_stddevNorm","mfcc4_sma3_amean","mfcc4_sma3_stddevNorm","jitterLocal_sma3nz_amean","jitterLocal_sma3nz_stddevNorm","shimmerLocaldB_sma3nz_amean","shimmerLocaldB_sma3nz_stddevNorm","HNRdBACF_sma3nz_amean","HNRdBACF_sma3nz_stddevNorm","logRelF0.H1.H2_sma3nz_amean","logRelF0.H1.H2_sma3nz_stddevNorm","logRelF0.H1.A3_sma3nz_amean","logRelF0.H1.A3_sma3nz_stddevNorm","F1frequency_sma3nz_amean","F1frequency_sma3nz_stddevNorm","F1bandwidth_sma3nz_amean","F1bandwidth_sma3nz_stddevNorm","F1amplitudeLogRelF0_sma3nz_amean","F1amplitudeLogRelF0_sma3nz_stddevNorm","F2frequency_sma3nz_amean","F2frequency_sma3nz_stddevNorm","F2bandwidth_sma3nz_amean","F2bandwidth_sma3nz_stddevNorm","F2amplitudeLogRelF0_sma3nz_amean","F2amplitudeLogRelF0_sma3nz_stddevNorm","F3frequency_sma3nz_amean","F3frequency_sma3nz_stddevNorm","F3bandwidth_sma3nz_amean","F3bandwidth_sma3nz_stddevNorm","F3amplitudeLogRelF0_sma3nz_amean","F3amplitudeLogRelF0_sma3nz_stddevNorm","alphaRatioV_sma3nz_amean","alphaRatioV_sma3nz_stddevNorm","hammarbergIndexV_sma3nz_amean","hammarbergIndexV_sma3nz_stddevNorm","slopeV0.500_sma3nz_amean","slopeV0.500_sma3nz_stddevNorm","slopeV500.1500_sma3nz_amean","slopeV500.1500_sma3nz_stddevNorm","spectralFluxV_sma3nz_amean","spectralFluxV_sma3nz_stddevNorm","mfcc1V_sma3nz_amean","mfcc1V_sma3nz_stddevNorm","mfcc2V_sma3nz_amean","mfcc2V_sma3nz_stddevNorm","mfcc3V_sma3nz_amean","mfcc3V_sma3nz_stddevNorm","mfcc4V_sma3nz_amean","mfcc4V_sma3nz_stddevNorm","alphaRatioUV_sma3nz_amean","hammarbergIndexUV_sma3nz_amean","slopeUV0.500_sma3nz_amean","slopeUV500.1500_sma3nz_amean","spectralFluxUV_sma3nz_amean","loudnessPeaksPerSec","VoicedSegmentsPerSec","MeanVoicedSegmentLengthSec","StddevVoicedSegmentLengthSec","MeanUnvoicedSegmentLength","StddevUnvoicedSegmentLength","equivalentSoundLevel_dBp"
"w001_lelydorp_stimulus.wav",40.01441,0.1316835,35.47795,40.44024,43.05695,7.578999,84.93395,51.75838,67.47762,67.76134,0.4777469,1.137509,0.002728413,0.2769866,0.9132848,0.9105564,12.9942,8.371338,14.10351,8.303276,0.3232961,1.2192,8.812155,2.06411,10.40901,1.166264,1.693384,11.45641,9.129396,1.552128,0.03733937,1.320221,1.199504,0.9583544,9.144888,0.5334574,6.552388,1.294511,14.90584,0.862631,595.1965,0.4326469,1244.679,0.2376451,-136.2906,-0.636833,1571.411,0.1720303,983.8074,0.4479807,-118.3312,-0.7270645,2605.656,0.1154512,781.866,0.5671856,-120.4855,-0.6935146,-14.22567,-0.783162,24.67994,0.5078802,0.01617583,2.881,-0.01461554,-0.9487591,0.5997137,0.6671743,20.12052,0.8133208,5.582065,2.549992,1.454439,14.07039,-1.501332,-8.079558,-11.77033,20.18193,-0.01647862,0.005974913,0.08407657,3.510972,2.075472,0.2145455,0.1746354,0.2793103,0.4469045,-29.61991
"w002_moundou_stimulus.wav",36.56757,0.1457604,34.39096,36.61997,39.95339,5.562435,170.1426,179.6703,362.7965,992.6265,0.5253865,1.298406,0.002746472,0.2488441,0.9649064,0.9621599,15.60422,9.914469,17.58251,13.75627,0.3623161,1.471167,12.31243,1.650544,2.96602,5.727207,8.05514,2.257277,6.080038,2.52109,0.04058773,1.453953,1.304293,0.9936565,8.361342,0.5595908,11.66175,1.068403,17.3402,0.6421643,521.5955,0.4424399,1237.82,0.2287462,-146.4123,-0.5607695,1512.131,0.1882015,863.0147,0.3651621,-127.2087,-0.6707938,2580.515,0.09216826,787.3321,0.6413591,-128.6471,-0.6473644,-13.1849,-0.6914622,21.84807,0.4688544,0.02925004,1.487969,-0.008240215,-1.755003,0.7583568,0.825453,29.68468,0.4661312,-5.540388,-3.53235,16.85329,0.8980182,-6.346611,-2.264363,-7.948735,16.59803,-0.003482138,0.0105934,0.08831242,2.533784,2.089215,0.1867568,0.16688,0.3115625,0.4852454,-28.0475
"w003_hangaroa_stimulus.wav",37.45303,0.1601114,32.37634,38.10108,41.23539,8.859047,191.7992,306.3507,394.4475,918.1459,0.5074079,1.148981,0.003991132,0.3524433,0.9247127,0.9207215,12.0476,6.325034,13.08093,8.517771,0.3465925,1.361788,9.986348,1.872507,8.248791,1.544614,3.147146,6.173857,6.086967,2.414564,0.04181182,1.34988,1.34468,1.004672,8.676951,0.5555556,7.878603,1.474851,20.39314,0.6026359,553.6212,0.3717617,1220.786,0.2239042,-131.28,-0.6596482,1579.264,0.1635556,940.8151,0.3875485,-116.0208,-0.7284249,2603.98,0.1145833,905.1075,0.4778259,-118.5752,-0.6867331,-15.93651,-0.7083759,27.16466,0.4318741,0.01580044,2.903661,-0.01661425,-0.9264391,0.6225471,0.8407435,22.49169,0.6712286,6.368047,2.43749,4.557706,4.494648,-2.853973,-4.967345,-8.690976,17.33099,-0.007260423,0.00573477,0.08805496,3.217503,2.364574,0.1947273,0.184872,0.2366666,0.4241184,-28.31044
"w008_dakar_stimulus.wav",37.39531,0.1622855,34.01329,37.63029,40.8962,6.882908,325.7327,412.4784,181.1653,275.0074,0.5751063,1.171186,0.004769747,0.3707777,0.9988974,0.9941277,15.53722,11.17981,16.94942,14.92867,0.4254648,1.253719,10.24979,1.667986,8.283734,1.712518,7.561899,2.34988,5.525187,2.785449,0.04552362,1.646123,1.396918,0.9459496,8.028956,0.6112466,9.527661,1.705256,15.27491,0.9849014,649.6577,0.3350991,1238.147,0.210325,-131.0461,-0.6553485,1692.547,0.1404096,939.0555,0.4880364,-123.5953,-0.6699789,2732.107,0.1131983,780.6618,0.5716282,-123.4818,-0.6677267,-15.20759,-0.6547893,23.41631,0.5026781,0.01220858,3.326651,-0.0162514,-0.8478375,0.7833259,0.7408213,23.0762,0.5246421,4.056604,4.350475,14.33335,1.07965,-5.205142,-2.723855,-10.33103,18.75212,-0.01050921,0.004499865,0.1401793,2.953813,2.584814,0.1620833,0.1201901,0.237561,0.4044374,-27.62345
"w009_durres_stimulus.wav",37.54303,0.1214636,35.76294,37.32071,39.17712,3.414188,375.8354,671.8618,61.87263,38.76601,0.4665925,1.144586,0.01595631,0.2396553,0.8862505,0.8702942,10.67355,6.820521,10.315,7.311854,0.2826387,1.182635,13.31917,1.433623,8.630237,1.611728,9.346702,1.839051,6.955385,2.432021,0.02883558,1.797652,1.057891,1.143816,11.0154,0.4116646,0.5388423,22.13584,14.45313,0.6619385,620.6242,0.3651994,1234.608,0.201058,-132.9648,-0.6467881,1684.814,0.1521421,916.0294,0.3522506,-124.7685,-0.6628519,2738.973,0.09483063,812.9095,0.4390329,-126.5644,-0.6337947,-19.95752,-0.5017506,29.43933,0.3740008,-0.01143887,-3.385962,-0.01503765,-0.8015156,0.5141758,0.6897434,28.08975,0.485036,3.504036,4.799143,16.8854,0.7928609,-5.978696,-2.764836,-15.33548,24.44154,-0.03047604,0.005062395,0.09597515,2.805463,1.738166,0.247234,0.2359652,0.35975,0.5902478,-27.55218
"w010_medellin_stimulus.wav",35.76044,0.2078852,32.72126,37.18044,39.5503,6.829044,342.528,409.696,204.2393,250.1485,0.561634,1.095008,0.04520949,0.2922482,1.107815,1.062606,12.42732,6.394611,13.33993,9.055369,0.3867173,1.13119,10.38925,1.659154,12.39642,0.8613843,3.966629,4.464091,9.473993,1.312861,0.06166447,1.652695,1.316941,0.9775923,8.246218,0.6873963,9.915791,1.300267,22.82341,0.5515981,648.1483,0.3058159,1299.679,0.1997343,-127.7207,-0.6992834,1685.052,0.1466652,963.5233,0.4092045,-123.9473,-0.6843281,2727.261,0.08273014,793.8074,0.4500778,-125.8746,-0.6534148,-17.02066,-0.5440656,26.38678,0.373677,0.009166628,4.982948,-0.02165386,-0.6242685,0.7015556,0.6648123,22.85048,0.6320328,11.63745,1.079814,3.274087,5.721429,0.5659735,21.17504,-14.83219,24.04287,-0.04226786,0.002635953,0.1432832,2.545455,2.095672,0.1984783,0.2230809,0.2582608,0.4069361,-27.61537
"w011_jerusalem_stimulus.wav",36.85302,0.215739,34.66998,36.82299,40.30816,5.638172,407.7517,618.0336,233.2443,284.2328,0.5272502,1.158169,0.02927825,0.2904076,1.00085,0.971572,14.01264,10.15305,14.19583,10.23273,0.3294511,1.27165,11.54618,1.70623,4.824244,3.169249,8.166757,2.074443,9.186489,1.64455,0.05546417,1.830936,1.266581,1.017312,8.147923,0.7033961,6.876508,2.344036,14.22098,1.051335,653.1271,0.3484058,1245.951,0.2351209,-133.9482,-0.6431458,1650.807,0.1481442,1011.983,0.4540751,-122.5851,-0.6988564,2671.95,0.1041706,858.049,0.4285603,-123.0662,-0.6844363,-14.07776,-0.7898736,23.53722,0.524922,0.001232159,35.40263,-0.008144443,-1.612132,0.6005681,0.7941463,25.35412,0.6857637,-2.276225,-7.768337,14.7876,0.938972,-1.35589,-11.67416,-12.6895,21.94665,-0.02948897,0.008311138,0.1132642,2.582691,2.044525,0.2071111,0.1691367,0.2795238,0.4664913,-28.1192
"w012_ngerulmud_stimulus.wav",39.6778,0.1588456,37.40456,40.03498,43.48812,6.083557,366.7704,704.9257,164.3742,276.8508,0.5699864,1.144266,0.02743809,0.3642047,1.013535,0.9860967,14.44033,8.938258,15.98455,12.84303,0.4276067,1.386746,10.2177,1.855481,4.662869,3.674167,4.135588,4.116524,1.539792,13.19052,0.04212158,1.344906,1.35076,0.9122434,8.324602,0.7110305,0.5809618,19.68643,13.49841,0.9050152,738.6464,0.2993962,1200.374,0.2506953,-126.1405,-0.6950727,1732.427,0.1515392,950.6733,0.4752425,-118.8524,-0.715598,2841.483,0.1153016,723.4663,0.5995366,-120.9522,-0.6799778,-13.60124,-0.8386956,24.98271,0.508962,0.009172841,5.619617,-0.005229197,-3.347217,0.7853385,0.8740096,23.04398,0.6645663,-2.839085,-7.188712,6.365109,2.604367,-13.08814,-1.511983,-10.42817,19.101,-0.02266777,0.008643798,0.1151169,3.089322,2.320888,0.1915942,0.1748094,0.2425806,0.4016014,-27.06783
"w013_freetown_stimulus.wav",35.02864,0.1390371,33.21347,35.28522,36.92236,3.708881,162.0413,388.2476,170.3028,284.1105,0.4035926,1.108499,0.004835236,0.2379087,0.7687045,0.7638692,10.30751,6.469306,10.84441,7.104568,0.2758867,1.169006,10.02296,1.842833,12.00388,0.9289613,7.806491,2.279792,9.239945,1.472353,0.0388472,1.855645,1.404866,0.9499007,8.977909,0.4795641,14.47008,1.027607,21.71521,0.6090382,621.657,0.3537174,1276.411,0.2207557,-133.8427,-0.6299931,1660.727,0.1699745,962.8947,0.4198244,-128.6422,-0.6268798,2722.036,0.09782288,773.0334,0.475873,-130.049,-0.6036236,-19.24122,-0.523805,29.79029,0.3538484,7.197548e-05,621.9911,-0.01207371,-1.090432,0.5252964,0.6240747,25.2324,0.5428307,11.6715,1.12792,14.23373,1.091606,-0.7493438,-17.30098,-11.27439,20.00171,-0.02437468,0.007744171,0.08893402,3.535354,2.346986,0.1713725,0.1351835,0.2483333,0.4387119,-29.01352
"w014_lilongwe_stimulus.wav",35.79346,0.1633294,32.1221,35.81559,39.42595,7.303848,410.2204,537.0714,251.785,344.3222,0.556473,1.267736,0.002742513,0.1994882,1.091703,1.088961,15.24729,9.932142,15.62099,10.70158,0.3269283,1.329901,9.430241,1.929568,7.68891,1.629472,3.837404,4.346522,6.25768,2.564996,0.04976963,1.860724,1.228881,0.9527653,8.101073,0.5842458,7.949395,1.630966,18.30641,0.5588338,607.8228,0.3545363,1195.669,0.2310609,-132.9742,-0.6594879,1641.803,0.1621814,920.2535,0.4828428,-126.7222,-0.6733888,2687.268,0.09648003,854.0685,0.5774168,-128.179,-0.6492921,-13.39165,-0.7090209,23.03127,0.4764188,0.01327494,3.226495,-0.01882098,-0.7791423,0.6840739,0.6713215,23.56561,0.6190963,2.259274,6.964837,9.316638,1.685069,-8.130744,-1.760014,-11.83378,21.1495,-0.01965331,0.005390531,0.07173514,2.790698,1.658031,0.241875,0.2153694,0.339375,0.5079427,-27.95655
