"sample_heard","F0semitoneFrom27.5Hz_sma3nz_amean","F0semitoneFrom27.5Hz_sma3nz_stddevNorm","F0semitoneFrom27.5Hz_sma3nz_percentile20.0","F0semitoneFrom27.5Hz_sma3nz_percentile50.0","F0semitoneFrom27.5Hz_sma3nz_percentile80.0","F0semitoneFrom27.5Hz_sma3nz_pctlrange0.2","F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope","F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope","F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope","F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope","loudness_sma3_amean","loudness_sma3_stddevNorm","loudness_sma3_percentile20.0","loudness_sma3_percentile50.0","loudness_sma3_percentile80.0","loudness_sma3_pctlrange0.2","loudness_sma3_meanRisingSlope","loudness_sma3_stddevRisingSlope","loudness_sma3_meanFallingSlope","loudness_sma3_stddevFallingSlope","spectralFlux_sma3_amean","spectralFlux_sma3_stddevNorm","mfcc1_sma3_amean","mfcc1_sma3_stddevNorm","mfcc2_sma3_amean","mfcc2_sma3_stddevNorm","mfcc3_sma3_amean","mfcc3_sma3_stddevNorm","mfcc4_sma3_amean","mfcc4_sma3_stddevNorm","jitterLocal_sma3nz_amean","jitterLocal_sma3nz_stddevNorm","shimmerLocaldB_sma3nz_amean","shimmerLocaldB_sma3nz_stddevNorm","HNRdBACF_sma3nz_amean","HNRdBACF_sma3nz_stddevNorm","logRelF0.H1.H2_sma3nz_amean","logRelF0.H1.H2_sma3nz_stddevNorm","logRelF0.H1.A3_sma3nz_amean","logRelF0.H1.A3_sma3nz_stddevNorm","F1frequency_sma3nz_amean","F1frequency_sma3nz_stddevNorm","F1bandwidth_sma3nz_amean","F1bandwidth_sma3nz_stddevNorm","F1amplitudeLogRelF0_sma3nz_amean","F1amplitudeLogRelF0_sma3nz_stddevNorm","F2frequency_sma3nz_amean","F2frequency_sma3nz_stddevNorm","F2bandwidth_sma3nz_amean","F2bandwidth_sma3nz_stddevNorm","F2amplitudeLogRelF0_sma3nz_amean","F2amplitudeLogRelF0_sma3nz_stddevNorm","F3frequency_sma3nz_amean","F3frequency_sma3nz_stddevNorm","F3bandwidth_sma3nz_amean","F3bandwidth_sma3nz_stddevNorm","F3amplitudeLogRelF0_sma3nz_amean","F3amplitudeLogRelF0_sma3nz_stddevNorm","alphaRatioV_sma3nz_amean","alphaRatioV_sma3nz_stddevNorm","hammarbergIndexV_sma3nz_amean","hammarbergIndexV_sma3nz_stddevNorm","slopeV0.500_sma3nz_amean","slopeV0.500_sma3nz_stddevNorm","slopeV500.1500_sma3nz_amean","slopeV500.1500_sma3nz_stddevNorm","spectralFluxV_sma3nz_amean","spectralFluxV_sma3nz_stddevNorm","mfcc1V_sma3nz_amean","mfcc1V_sma3nz_stddevNorm","mfcc2V_sma3nz_amean","mfcc2V_sma3nz_stddevNorm","mfcc3V_sma3nz_amean","mfcc3V_sma3nz_stddevNorm","mfcc4V_sma3nz_amean","mfcc4V_sma3nz_stddevNorm","alphaRatioUV_sma3nz_amean","hammarbergIndexUV_sma3nz_amean","slopeUV0.500_sma3nz_amean","slopeUV500.1500_sma3nz_amean","spectralFluxUV_sma3nz_amean","loudnessPeaksPerSec","VoicedSegmentsPerSec","MeanVoicedSegmentLengthSec","StddevVoicedSegmentLengthSec","MeanUnvoicedSegmentLength","StddevUnvoicedSegmentLength","equivalentSoundLevel_dBp"
"m004_linden_stimulus.wav",29.21275,0.2283337,24.89525,28.53454,32.79715,7.901901,693.4177,1157.797,131.253,205.6152,0.4617641,1.289365,0.01253469,0.1474804,0.8714365,0.8589019,15.08821,10.23827,15.24738,10.79899,0.3420315,1.345234,12.03995,1.658046,11.53384,0.9867316,12.14586,1.519782,12.15125,0.9475352,0.05378165,1.526402,1.591757,0.9478989,5.492726,0.7669126,6.857862,2.111408,24.81956,0.5508682,494.5178,0.4114477,1212.303,0.2024071,-128.9221,-0.6883892,1477.994,0.181978,951.5695,0.3751131,-130.7153,-0.6322007,2514.808,0.1235635,859.6412,0.402956,-131.9949,-0.6084648,-17.65831,-0.624248,27.12463,0.445681,-0.01136696,-3.977622,-0.01001637,-1.265813,0.7036382,0.7126626,29.35881,0.5269622,9.8456,1.473415,22.13899,0.645838,6.66912,2.081171,-12.52839,21.59699,-0.02988817,0.005823174,0.0948203,2.751376,1.905717,0.2036842,0.2055598,0.3433333,0.4804712,-27.5572
"m005_nicosia_stimulus.wav",27.97981,0.1629436,24.77392,28.57069,31.23656,6.462639,157.3337,220.8215,75.38364,87.29038,0.4323706,1.119963,0.007248414,0.2703438,0.8276875,0.8204391,9.403808,5.868844,9.641858,8.246499,0.2948536,1.273574,17.21834,1.258049,10.43527,0.974714,12.00554,1.534412,11.12069,1.094094,0.05922221,1.650141,1.30895,1.021659,6.11392,0.6321776,6.311236,1.733595,26.33937,0.4128131,484.9559,0.4559329,1174.22,0.1769729,-110.1606,-0.8411303,1461.915,0.2149561,861.202,0.3092482,-113.3173,-0.7570656,2516.643,0.1298696,678.1862,0.4679683,-117.0655,-0.6993966,-19.41648,-0.4379202,28.8974,0.3116336,-0.002698539,-17.12227,-0.007398179,-1.964236,0.5313337,0.7439972,34.53294,0.3487448,10.50208,1.098815,21.09388,0.5929894,4.748106,2.72654,-9.972383,18.58788,-0.01230289,0.01128562,0.06088103,2.606429,1.741402,0.277,0.2154669,0.2841026,0.5328718,-28.37694
"m006_rabat_stimulus.wav",31.96671,0.2250987,26.73639,31.80232,36.81213,10.07574,311.8069,588.8658,118.4773,125.0746,0.5075493,1.201854,0.01206185,0.2437776,0.9494159,0.9373541,10.79142,7.835581,10.4182,7.018618,0.3278404,1.383421,12.16477,1.598426,10.36109,1.20298,9.641496,2.002509,9.315589,1.413704,0.06114705,1.522334,1.254623,0.9631708,6.916388,0.7424624,9.048234,1.581543,20.055,0.5993213,567.1835,0.4356012,1222.67,0.2370315,-120.5528,-0.7446246,1592.175,0.1872693,884.6732,0.4633546,-118.9272,-0.7108498,2620.024,0.1112829,829.991,0.484222,-119.2416,-0.6966683,-16.8581,-0.5696045,26.03374,0.4130116,0.007519544,6.18924,-0.01471834,-0.8059866,0.6189953,0.8053989,26.0168,0.5892724,8.1534,1.844002,16.66112,1.130484,1.488429,8.831492,-12.05291,20.97468,-0.0227398,0.006445504,0.06421097,2.687209,1.687007,0.2740425,0.2590216,0.3184091,0.4615091,-27.53427
"m007_klaksvik_stimulus.wav",24.47457,0.1884027,22.10289,24.46268,27.27474,5.171844,211.0591,318.7577,393.0022,1186.826,0.4858233,1.103118,0.009851547,0.3343748,0.8949299,0.8850783,12.53761,6.733443,13.47149,9.361629,0.3263551,1.191206,12.00671,1.614914,12.48862,0.8728274,6.123691,2.667847,14.36466,0.7295379,0.06271119,1.584458,2.044776,0.8237753,3.789269,1.029135,4.301099,1.816702,27.24176,0.3475714,500.6511,0.4405484,1187.669,0.2039114,-115.847,-0.7871554,1471.061,0.1895419,923.7411,0.2899806,-120.043,-0.7099583,2469.192,0.1347674,786.7555,0.3674286,-122.9351,-0.6653791,-17.06797,-0.5311254,26.28294,0.3390352,-0.01994067,-2.058504,-0.005553545,-2.4064,0.6099646,0.6511009,27.88221,0.4664696,14.41213,0.8574955,11.8651,1.171344,11.89192,1.118532,-9.664137,18.32155,-0.01923818,0.00895244,0.08869626,3.559871,1.753247,0.2522222,0.2118408,0.2768965,0.3992761,-28.62894
"m016_beirut_stimulus.wav",30.19319,0.2431568,26.37834,29.65022,33.01906,6.640724,271.1996,315.2922,172.5907,229.7143,0.4887077,1.121249,0.002698999,0.2475882,0.9537862,0.9510872,12.47856,8.155468,15.95849,12.27299,0.3257369,1.197546,11.61429,1.893652,8.262813,1.452998,8.778137,2.285462,5.737079,2.759409,0.05619501,1.61209,1.6278,0.8434461,5.402444,0.787952,6.164648,1.722746,22.87531,0.5723627,514.8765,0.4342894,1207.503,0.2348822,-120.6408,-0.7506799,1497.971,0.1839707,902.7201,0.4256196,-120.1642,-0.7093049,2603.507,0.09496157,759.3669,0.4896545,-121.3397,-0.6799331,-15.04324,-0.6905296,24.89927,0.4479759,-0.001915983,-21.16796,-0.01351417,-1.126908,0.6016994,0.5950444,28.13368,0.6469488,7.635418,1.807303,21.13792,0.6887871,-3.893076,-4.163998,-5.783688,13.7426,0.005001837,0.008681074,0.08569413,3.439804,1.82266,0.247027,0.3011856,0.3234375,0.5062892,-28.85239
"m018_rotterdam_stimulus.wav",27.55843,0.2700995,23.67086,26.7257,30.06191,6.391052,154.1123,127.3635,139.1183,257.1013,0.4741278,1.269661,0.0027477,0.1604939,0.9556774,0.9529297,14.58436,10.73651,12.91103,9.239789,0.3514237,1.248228,14.4714,1.512585,8.260687,1.527291,8.737686,2.072098,10.32003,1.450441,0.05378247,1.345927,1.648583,0.9250507,4.236403,1.062921,8.362796,1.584171,25.89445,0.4285872,556.0342,0.4352204,1268.413,0.2164263,-125.3249,-0.7211214,1530.884,0.2005774,998.8284,0.3410127,-125.9425,-0.6788631,2581.329,0.1315742,861.4853,0.4372431,-127.7733,-0.6466129,-16.86935,-0.5516672,26.37368,0.3676001,-0.02510208,-1.84834,-0.01851221,-1.005223,0.6914968,0.6538913,32.95762,0.4997903,3.65651,4.17809,17.66481,0.843833,0.1148217,146.2977,-14.0559,23.30494,-0.03100593,0.005907751,0.1015741,2.685714,1.833811,0.223125,0.2074614,0.321,0.4689517,-28.25793
"m019_banjul_stimulus.wav",25.8224,0.2200051,22.00995,26.7187,29.76659,7.756639,307.4842,377.76,255.6882,414.3721,0.3588671,1.149508,0.002734473,0.17399,0.7225013,0.7197668,11.21883,7.365931,10.19184,6.847646,0.3504269,1.388481,11.80293,1.782968,12.32907,0.856666,11.79007,1.663714,14.26396,0.7746986,0.1193647,1.49054,1.900938,0.8179615,3.423762,1.570425,7.921282,2.408069,29.09747,0.6909705,504.1245,0.4407675,1196.237,0.2202357,-129.823,-0.6833144,1537.694,0.177935,900.4753,0.3305316,-134.9318,-0.5983215,2623.52,0.1013206,816.4371,0.3849068,-136.6563,-0.572984,-22.44625,-0.4113502,31.84309,0.3081385,-0.02467916,-1.720251,-0.01198521,-1.228705,0.7196746,0.7156003,31.40835,0.4888531,15.82325,0.7277261,25.02043,0.5527395,10.68664,1.368612,-9.926809,18.95121,-0.01901745,0.006901687,0.1165427,3.128055,1.910828,0.1933333,0.1507134,0.3256757,0.4932492,-28.57171
"m020_edinburghofthesevenseas_stimulus.wav",23.88983,0.3158258,20.35152,22.96199,25.66985,5.318331,428.367,787.6976,106.9743,119.8839,0.4177065,1.203743,0.002765717,0.1439641,0.8241711,0.8214054,11.71721,7.198571,14.76516,10.14709,0.3463882,1.284261,9.584195,1.982401,13.19607,0.6913983,11.91414,1.58021,11.56766,1.019448,0.07566445,1.4483,2.101349,0.7889647,2.180067,1.703372,5.912697,2.469155,26.98791,0.5899797,567.4926,0.4365063,1219.831,0.2656915,-133.8101,-0.6491902,1605.576,0.2034134,949.2519,0.3839252,-136.4073,-0.5933035,2636.44,0.124075,795.9227,0.4506987,-136.5406,-0.5874011,-18.6034,-0.5414538,26.41581,0.4225594,-0.02162211,-1.995281,-0.01251858,-1.129965,0.7491845,0.6262795,24.9355,0.6527757,15.3077,0.7083979,24.16316,0.5316097,4.696985,3.117841,-12.08529,20.57457,-0.02390864,0.005875212,0.1059342,3.173804,2.373738,0.1491489,0.1095412,0.3089474,0.4811488,-28.00111
"m021_dakhla_stimulus.wav",21.8346,0.1817161,19.86911,21.75346,23.9973,4.128189,269.1901,386.2679,167.4752,400.2362,0.5649194,1.095945,0.01687644,0.3512636,1.0752,1.058324,13.97255,7.887949,12.84517,7.661283,0.3992949,1.104859,14.86232,1.382951,13.02577,0.8433793,5.976939,2.955915,9.709867,1.264128,0.07000863,1.271165,1.855144,0.8421637,1.72774,2.045194,5.628225,1.253768,28.96339,0.3019536,506.508,0.4217383,1175.234,0.2276699,-101.9482,-0.9197401,1481.83,0.1997601,865.2645,0.3554433,-107.1148,-0.821855,2508.553,0.1125726,770.4785,0.395384,-111.2594,-0.7531874,-16.48385,-0.5735718,26.84839,0.3714423,-0.008701913,-4.353899,-0.01450883,-1.008259,0.7058823,0.5742472,29.84801,0.4574936,13.37544,0.8964748,10.52948,1.606601,3.922574,3.111882,-9.584421,18.28271,-0.0178597,0.008139775,0.07057643,3.299204,2.110667,0.2364865,0.1820932,0.2225,0.3945558,-27.18739
"m022_marseille_stimulus.wav",25.0209,0.2588625,20.44912,24.76173,27.74216,7.293041,411.2699,892.1783,61.78235,55.80701,0.507065,1.243971,0.002756266,0.2203609,0.9874023,0.9846461,15.31627,10.75267,17.65667,12.39343,0.3499481,1.302841,11.601,1.715613,9.023374,1.328984,14.04143,1.528088,13.71742,0.9517772,0.05515065,1.383174,1.71594,0.8064041,2.855964,1.44663,6.324992,1.631252,23.16383,0.5272049,524.0225,0.4742561,1174.278,0.2124223,-112.734,-0.8240898,1536.645,0.1850231,839.6874,0.3810151,-114.115,-0.7710636,2562.636,0.1151992,742.4636,0.3903634,-115.4437,-0.7473278,-13.7665,-0.7197026,22.24754,0.4730418,-0.01142766,-3.816232,-0.001945524,-6.475688,0.6556242,0.720918,25.65073,0.6183101,5.259583,2.576479,25.94572,0.6190424,10.32647,1.595435,-9.277768,17.35914,-0.004969654,0.008268074,0.07157402,2.912165,2.118644,0.2148889,0.16991,0.2694872,0.419511,-28.58564
