name;F0semitoneFrom27.5Hz_sma3nz_amean;F0semitoneFrom27.5Hz_sma3nz_stddevNorm;F0semitoneFrom27.5Hz_sma3nz_percentile20.0;F0semitoneFrom27.5Hz_sma3nz_percentile50.0;F0semitoneFrom27.5Hz_sma3nz_percentile80.0;F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2;F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope;F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope;F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope;loudness_sma3_amean;loudness_sma3_stddevNorm;loudness_sma3_percentile20.0;loudness_sma3_percentile50.0;loudness_sma3_percentile80.0;loudness_sma3_pctlrange0-2;loudness_sma3_meanRisingSlope;loudness_sma3_stddevRisingSlope;loudness_sma3_meanFallingSlope;loudness_sma3_stddevFallingSlope;spectralFlux_sma3_amean;spectralFlux_sma3_stddevNorm;mfcc1_sma3_amean;mfcc1_sma3_stddevNorm;mfcc2_sma3_amean;mfcc2_sma3_stddevNorm;mfcc3_sma3_amean;mfcc3_sma3_stddevNorm;mfcc4_sma3_amean;mfcc4_sma3_stddevNorm;jitterLocal_sma3nz_amean;jitterLocal_sma3nz_stddevNorm;shimmerLocaldB_sma3nz_amean;shimmerLocaldB_sma3nz_stddevNorm;HNRdBACF_sma3nz_amean;HNRdBACF_sma3nz_stddevNorm;logRelF0-H1-H2_sma3nz_amean;logRelF0-H1-H2_sma3nz_stddevNorm;logRelF0-H1-A3_sma3nz_amean;logRelF0-H1-A3_sma3nz_stddevNorm;F1frequency_sma3nz_amean;F1frequency_sma3nz_stddevNorm;F1bandwidth_sma3nz_amean;F1bandwidth_sma3nz_stddevNorm;F1amplitudeLogRelF0_sma3nz_amean;F1amplitudeLogRelF0_sma3nz_stddevNorm;F2frequency_sma3nz_amean;F2frequency_sma3nz_stddevNorm;F2bandwidth_sma3nz_amean;F2bandwidth_sma3nz_stddevNorm;F2amplitudeLogRelF0_sma3nz_amean;F2amplitudeLogRelF0_sma3nz_stddevNorm;F3frequency_sma3nz_amean;F3frequency_sma3nz_stddevNorm;F3bandwidth_sma3nz_amean;F3bandwidth_sma3nz_stddevNorm;F3amplitudeLogRelF0_sma3nz_amean;F3amplitudeLogRelF0_sma3nz_stddevNorm;alphaRatioV_sma3nz_amean;alphaRatioV_sma3nz_stddevNorm;hammarbergIndexV_sma3nz_amean;hammarbergIndexV_sma3nz_stddevNorm;slopeV0-500_sma3nz_amean;slopeV0-500_sma3nz_stddevNorm;slopeV500-1500_sma3nz_amean;slopeV500-1500_sma3nz_stddevNorm;spectralFluxV_sma3nz_amean;spectralFluxV_sma3nz_stddevNorm;mfcc1V_sma3nz_amean;mfcc1V_sma3nz_stddevNorm;mfcc2V_sma3nz_amean;mfcc2V_sma3nz_stddevNorm;mfcc3V_sma3nz_amean;mfcc3V_sma3nz_stddevNorm;mfcc4V_sma3nz_amean;mfcc4V_sma3nz_stddevNorm;alphaRatioUV_sma3nz_amean;hammarbergIndexUV_sma3nz_amean;slopeUV0-500_sma3nz_amean;slopeUV500-1500_sma3nz_amean;spectralFluxUV_sma3nz_amean;loudnessPeaksPerSec;VoicedSegmentsPerSec;MeanVoicedSegmentLengthSec;StddevVoicedSegmentLengthSec;MeanUnvoicedSegmentLength;StddevUnvoicedSegmentLength;equivalentSoundLevel_dBp
'm004_linden_d5.wav';2.818111e+001;1.584790e-001;2.555947e+001;2.781561e+001;3.057139e+001;5.011925e+000;1.974157e+002;3.446461e+002;1.653915e+002;5.290594e+002;2.614115e-001;1.043897e+000;3.014677e-002;1.819601e-001;4.670535e-001;4.369067e-001;6.339700e+000;4.155408e+000;5.386315e+000;3.734550e+000;1.422301e-001;1.151572e+000;1.787496e+001;1.023612e+000;1.109868e+001;1.128696e+000;1.581513e+001;8.281911e-001;9.715696e+000;1.141260e+000;5.095027e-002;1.603013e+000;1.514383e+000;9.618557e-001;6.155541e+000;5.888842e-001;6.994357e+000;1.476245e+000;2.736440e+001;4.161392e-001;4.729662e+002;4.233290e-001;1.220127e+003;2.118062e-001;-1.182738e+002;-7.687156e-001;1.448947e+003;1.842854e-001;9.551641e+002;3.518563e-001;-1.219854e+002;-6.888806e-001;2.507427e+003;1.161688e-001;7.638298e+002;4.351592e-001;-1.251890e+002;-6.409082e-001;-1.904688e+001;-5.168964e-001;2.993954e+001;3.176730e-001;-8.181211e-003;-4.906947e+000;-6.417814e-003;-1.690932e+000;2.546453e-001;6.560833e-001;3.298074e+001;4.229221e-001;1.154789e+001;1.248699e+000;1.995559e+001;7.588043e-001;7.708863e+000;1.629755e+000;-1.933601e+001;2.979818e+001;-1.686642e-002;1.219199e-002;6.168284e-002;2.493461e+000;1.849913e+000;2.366981e-001;1.811062e-001;3.090722e-001;4.523321e-001;-3.571513e+001
'm004_linden_d6.wav';2.900372e+001;1.936080e-001;2.595152e+001;2.802919e+001;3.178818e+001;5.836657e+000;3.884073e+002;9.226936e+002;2.839818e+002;6.866575e+002;2.534969e-001;1.178376e+000;1.768927e-002;1.133654e-001;4.908988e-001;4.732096e-001;7.253115e+000;5.215981e+000;6.811450e+000;5.726718e+000;1.326337e-001;1.278975e+000;1.622663e+001;1.090190e+000;1.006571e+001;1.222802e+000;1.658652e+001;7.961935e-001;9.770903e+000;1.144457e+000;4.715228e-002;1.806167e+000;1.398148e+000;9.566469e-001;6.327026e+000;5.910373e-001;6.336937e+000;1.788476e+000;2.545302e+001;4.890811e-001;4.811847e+002;4.147657e-001;1.175255e+003;1.895839e-001;-1.266684e+002;-7.108238e-001;1.492586e+003;1.855010e-001;9.097251e+002;3.958071e-001;-1.291883e+002;-6.455103e-001;2.521511e+003;1.265150e-001;7.998074e+002;4.202374e-001;-1.311623e+002;-6.165293e-001;-1.805194e+001;-5.905007e-001;2.759081e+001;4.055229e-001;-1.681986e-004;-2.496310e+002;-7.298003e-003;-1.475888e+000;2.626491e-001;7.033882e-001;3.204556e+001;4.279183e-001;9.458544e+000;1.530866e+000;2.237493e+001;6.819192e-001;7.960005e+000;1.612178e+000;-2.023174e+001;3.090934e+001;-1.019551e-002;1.251563e-002;5.577822e-002;2.314815e+000;1.636215e+000;2.425000e-001;1.998968e-001;3.717857e-001;5.186352e-001;-3.611123e+001
'm004_linden_d7.wav';2.851216e+001;1.691370e-001;2.537262e+001;2.821603e+001;3.153384e+001;6.161222e+000;1.761250e+002;2.422567e+002;8.708315e+001;1.082495e+002;2.460213e-001;1.041617e+000;1.827401e-002;1.609614e-001;4.715716e-001;4.532976e-001;5.879932e+000;3.900614e+000;4.959796e+000;3.632873e+000;1.257491e-001;1.142321e+000;1.797946e+001;1.002966e+000;1.034969e+001;1.154115e+000;1.636600e+001;7.964456e-001;9.947662e+000;1.141029e+000;5.337657e-002;1.882984e+000;1.317993e+000;1.016908e+000;6.612003e+000;5.505941e-001;6.425855e+000;1.406340e+000;2.652255e+001;4.023840e-001;4.792676e+002;4.405373e-001;1.199509e+003;1.990453e-001;-1.190724e+002;-7.614655e-001;1.465608e+003;1.929467e-001;9.324661e+002;3.488208e-001;-1.219408e+002;-6.903427e-001;2.503610e+003;1.286999e-001;7.834088e+002;4.405344e-001;-1.250036e+002;-6.450549e-001;-1.867900e+001;-5.383363e-001;2.906246e+001;3.379900e-001;-3.599003e-003;-1.119104e+001;-4.563247e-003;-2.402864e+000;2.290460e-001;6.257767e-001;3.321838e+001;3.919053e-001;1.013828e+001;1.355252e+000;2.209011e+001;6.380736e-001;8.505736e+000;1.500110e+000;-2.018422e+001;3.095875e+001;-4.314222e-003;1.401857e-002;5.432839e-002;2.649007e+000;1.735231e+000;2.513483e-001;1.746405e-001;3.171765e-001;4.811839e-001;-3.627757e+001
'm004_linden_d8.wav';2.800905e+001;1.422244e-001;2.490259e+001;2.792522e+001;3.099139e+001;6.088808e+000;1.538034e+002;1.898951e+002;4.694445e+001;4.654629e+001;2.529627e-001;1.039436e+000;1.401282e-002;1.821349e-001;4.691327e-001;4.551198e-001;5.993088e+000;3.209694e+000;5.483129e+000;3.802003e+000;1.313519e-001;1.125864e+000;1.885158e+001;9.974405e-001;1.058410e+001;1.108823e+000;1.514588e+001;8.038890e-001;9.898082e+000;1.063139e+000;4.871565e-002;1.665492e+000;1.296849e+000;1.009736e+000;6.341151e+000;5.232163e-001;6.294247e+000;1.043365e+000;2.770061e+001;3.415974e-001;4.629066e+002;3.890130e-001;1.229777e+003;1.722416e-001;-1.137150e+002;-8.068404e-001;1.439393e+003;1.725966e-001;9.608147e+002;3.283876e-001;-1.180407e+002;-7.177919e-001;2.469736e+003;1.168613e-001;8.053273e+002;4.239726e-001;-1.213290e+002;-6.685879e-001;-1.937848e+001;-4.765698e-001;2.968758e+001;3.105062e-001;-7.077856e-003;-5.184883e+000;-7.044448e-003;-1.484420e+000;2.336219e-001;6.085638e-001;3.463663e+001;3.632933e-001;1.134993e+001;1.166128e+000;1.926819e+001;6.762973e-001;1.003408e+001;1.112832e+000;-1.921648e+001;2.962669e+001;6.211651e-003;1.479539e-002;5.474168e-002;2.727800e+000;1.569311e+000;2.951852e-001;2.025554e-001;3.466000e-001;4.996783e-001;-3.613607e+001
'm005_nicosia_d5.wav';2.837216e+001;1.576065e-001;2.572267e+001;2.871646e+001;3.125025e+001;5.527582e+000;2.096628e+002;2.709021e+002;1.132002e+002;1.458091e+002;4.290782e-001;1.041179e+000;3.181732e-002;3.055612e-001;8.089554e-001;7.771381e-001;8.844574e+000;5.580179e+000;9.291674e+000;6.437025e+000;2.979704e-001;1.149633e+000;2.059477e+001;8.945708e-001;9.686943e+000;1.151887e+000;1.543185e+001;8.490194e-001;7.835212e+000;1.640486e+000;6.518766e-002;1.675275e+000;1.397705e+000;9.701561e-001;5.945406e+000;6.671489e-001;6.685041e+000;1.125404e+000;2.655173e+001;3.127068e-001;4.811059e+002;4.378594e-001;1.192120e+003;1.933948e-001;-1.108599e+002;-8.369080e-001;1.447542e+003;2.102946e-001;8.862816e+002;3.371432e-001;-1.138961e+002;-7.544227e-001;2.514123e+003;1.253019e-001;6.269243e+002;4.496212e-001;-1.171750e+002;-7.029624e-001;-1.846421e+001;-4.683675e-001;2.797388e+001;3.068493e-001;4.724791e-003;9.145528e+000;-6.544116e-003;-1.833883e+000;5.194104e-001;6.531333e-001;3.513742e+001;3.458233e-001;1.006802e+001;1.178315e+000;1.996498e+001;6.937871e-001;4.324173e+000;3.238079e+000;-1.921963e+001;2.957621e+001;-9.584325e-003;1.449733e-002;1.066280e-001;2.980427e+000;1.736807e+000;2.756410e-001;2.205447e-001;2.833766e-001;4.179126e-001;-2.947316e+001
'm005_nicosia_d6.wav';2.848268e+001;1.671006e-001;2.537604e+001;2.885476e+001;3.152653e+001;6.150486e+000;1.562577e+002;2.522335e+002;1.844626e+002;5.622261e+002;4.099768e-001;1.086918e+000;1.788640e-002;2.670548e-001;7.870395e-001;7.691531e-001;8.442637e+000;4.998877e+000;8.954521e+000;7.412664e+000;2.823125e-001;1.272610e+000;1.996161e+001;9.010062e-001;9.443394e+000;1.217838e+000;1.653191e+001;8.004528e-001;8.006355e+000;1.488236e+000;6.539955e-002;1.873752e+000;1.315562e+000;9.978739e-001;6.248466e+000;6.142026e-001;7.165956e+000;1.467793e+000;2.631128e+001;4.027194e-001;4.961191e+002;4.564798e-001;1.172302e+003;1.927092e-001;-1.110082e+002;-8.305754e-001;1.493646e+003;2.167598e-001;8.631496e+002;3.675023e-001;-1.137948e+002;-7.486661e-001;2.552304e+003;1.358886e-001;6.632895e+002;5.042586e-001;-1.169626e+002;-6.994162e-001;-1.937756e+001;-4.634087e-001;2.857097e+001;3.263346e-001;1.785393e-004;2.591911e+002;-5.377544e-003;-2.254675e+000;5.010863e-001;7.604489e-001;3.411064e+001;3.525990e-001;1.099546e+001;1.102832e+000;2.219053e+001;5.840281e-001;5.338301e+000;2.397516e+000;-1.922098e+001;2.979461e+001;5.463529e-003;1.682428e-002;9.265095e-002;2.639708e+000;1.715411e+000;2.824590e-001;2.600168e-001;3.046429e-001;4.761601e-001;-2.953647e+001
'm005_nicosia_d7.wav';2.873085e+001;1.733483e-001;2.592538e+001;2.855013e+001;3.127309e+001;5.347712e+000;2.293415e+002;2.958996e+002;9.754419e+001;1.323390e+002;3.935613e-001;1.045850e+000;3.101056e-002;2.759125e-001;7.503821e-001;7.193716e-001;8.037685e+000;5.025423e+000;7.664751e+000;6.228371e+000;2.638094e-001;1.204036e+000;1.973039e+001;9.169527e-001;8.815052e+000;1.248130e+000;1.613937e+001;7.900505e-001;8.500704e+000;1.442766e+000;6.567182e-002;1.599012e+000;1.481575e+000;9.623780e-001;5.983238e+000;6.552231e-001;7.336394e+000;1.322589e+000;2.606463e+001;3.860663e-001;5.114225e+002;4.549134e-001;1.178595e+003;2.141403e-001;-1.133120e+002;-8.136537e-001;1.501050e+003;2.208348e-001;8.520292e+002;3.399526e-001;-1.158027e+002;-7.405392e-001;2.580181e+003;1.310403e-001;6.744197e+002;4.979532e-001;-1.190374e+002;-6.900139e-001;-1.759653e+001;-5.119578e-001;2.753887e+001;3.269531e-001;5.475804e-003;7.766110e+000;-4.161412e-003;-2.881282e+000;4.695354e-001;6.950588e-001;3.378703e+001;4.016319e-001;9.258265e+000;1.269911e+000;2.089358e+001;6.463406e-001;4.972711e+000;2.772765e+000;-1.908074e+001;2.988750e+001;-1.537676e-002;1.537364e-002;9.365501e-002;2.536585e+000;1.758242e+000;2.658333e-001;1.752122e-001;2.986765e-001;4.392503e-001;-3.022075e+001
'm005_nicosia_d8.wav';2.751285e+001;1.535801e-001;2.465883e+001;2.793162e+001;3.052623e+001;5.867403e+000;1.936822e+002;4.267184e+002;8.754949e+001;9.627834e+001;3.781213e-001;1.137788e+000;9.148284e-003;2.251457e-001;7.136734e-001;7.045251e-001;8.849540e+000;5.735473e+000;7.927461e+000;6.383570e+000;2.545327e-001;1.215281e+000;2.097964e+001;8.591489e-001;9.549085e+000;1.159241e+000;1.730130e+001;8.390903e-001;8.425406e+000;1.416461e+000;6.642946e-002;1.581029e+000;1.402898e+000;9.818678e-001;5.606787e+000;7.460815e-001;7.201394e+000;1.441516e+000;2.660510e+001;3.723081e-001;4.943409e+002;4.739047e-001;1.185647e+003;2.103759e-001;-1.063237e+002;-8.710133e-001;1.495942e+003;2.171167e-001;8.947423e+002;3.818352e-001;-1.113750e+002;-7.653565e-001;2.531688e+003;1.383462e-001;6.705458e+002;4.856129e-001;-1.141382e+002;-7.215993e-001;-1.915067e+001;-4.749121e-001;2.779183e+001;3.298524e-001;-1.132353e-003;-3.983094e+001;-5.732587e-003;-2.193860e+000;4.471126e-001;6.978366e-001;3.468104e+001;3.573649e-001;1.066603e+001;1.114876e+000;2.346836e+001;6.298104e-001;6.617972e+000;1.997579e+000;-2.187521e+001;3.218797e+001;1.451054e-002;1.613914e-002;8.011222e-002;2.726498e+000;1.535836e+000;3.250000e-001;2.384964e-001;3.042592e-001;4.747576e-001;-3.033571e+001
'm006_rabat_d5.wav';3.149164e+001;2.284676e-001;2.706402e+001;3.083583e+001;3.511430e+001;8.050280e+000;2.438422e+002;5.384256e+002;2.168427e+002;3.735410e+002;4.515661e-001;1.100706e+000;3.052396e-002;2.966808e-001;8.441973e-001;8.136734e-001;9.043718e+000;5.431701e+000;8.401439e+000;5.989738e+000;2.758794e-001;1.223800e+000;1.687409e+001;1.071605e+000;1.060966e+001;1.194623e+000;1.265431e+001;1.123505e+000;7.477351e+000;1.665539e+000;4.933550e-002;1.593459e+000;1.375084e+000;9.964826e-001;6.489246e+000;7.865420e-001;9.982978e+000;1.117759e+000;2.325806e+001;5.814804e-001;5.721585e+002;4.352601e-001;1.235165e+003;2.423894e-001;-1.163951e+002;-7.761869e-001;1.586921e+003;1.977561e-001;9.266522e+002;4.421062e-001;-1.161027e+002;-7.302462e-001;2.645329e+003;1.155062e-001;7.687507e+002;4.456815e-001;-1.174218e+002;-6.997343e-001;-1.655963e+001;-6.305810e-001;2.685504e+001;4.312138e-001;8.166385e-003;5.821289e+000;-8.556302e-003;-1.296916e+000;4.807367e-001;7.377164e-001;2.846036e+001;5.639670e-001;9.397303e+000;1.503238e+000;1.586686e+001;1.060649e+000;3.877123e+000;3.599286e+000;-2.069847e+001;3.161169e+001;-1.571238e-002;1.110545e-002;1.007731e-001;2.460539e+000;2.121728e+000;2.226277e-001;1.981825e-001;2.552459e-001;3.906262e-001;-2.980831e+001
'm006_rabat_d6.wav';3.173712e+001;2.164083e-001;2.695760e+001;3.059229e+001;3.636486e+001;9.407261e+000;2.109572e+002;4.422343e+002;1.738081e+002;3.723509e+002;4.577021e-001;1.171467e+000;2.122635e-002;2.570132e-001;8.589606e-001;8.377342e-001;1.008794e+001;7.028210e+000;9.105376e+000;6.335520e+000;2.897148e-001;1.328090e+000;1.518253e+001;1.133985e+000;1.055911e+001;1.259648e+000;1.438102e+001;1.064764e+000;7.431448e+000;1.703294e+000;6.092881e-002;1.690778e+000;1.271302e+000;1.023121e+000;6.879287e+000;6.933541e-001;1.024673e+001;1.145056e+000;2.155997e+001;5.416464e-001;5.588803e+002;4.367564e-001;1.207110e+003;2.350515e-001;-1.199378e+002;-7.514930e-001;1.617274e+003;1.919649e-001;8.552632e+002;4.580820e-001;-1.183806e+002;-7.125819e-001;2.658768e+003;1.129551e-001;7.890579e+002;4.631210e-001;-1.186739e+002;-7.016415e-001;-1.750708e+001;-5.719295e-001;2.637057e+001;4.094795e-001;5.874978e-003;8.185711e+000;-1.113619e-002;-9.158280e-001;5.299661e-001;7.872186e-001;2.656075e+001;5.752184e-001;9.856609e+000;1.556687e+000;1.890760e+001;9.804570e-001;4.225855e+000;3.366916e+000;-2.105624e+001;3.174051e+001;-6.487472e-003;1.152796e-002;9.423999e-002;2.559661e+000;1.656714e+000;2.808140e-001;2.275973e-001;3.245000e-001;4.573618e-001;-2.936249e+001
