spkID,gender,class
6,m,high
16,m,high
20,m,low
22,m,low
23,m,low
25,m,high
28,m,low
33,m,low
36,m,low
41,m,high
52,m,low
53,m,low
59,m,low
61,m,high
64,m,high
69,m,high
71,m,high
77,m,high
79,m,low
80,m,high
82,m,high
85,m,high
88,m,low
90,m,low
91,m,high
93,m,high
96,m,low
97,m,high
98,m,low
106,m,high
108,m,low
114,m,high
116,m,low
119,m,high
122,m,high
129,m,high
131,m,high
135,m,high
136,m,high
146,m,low
150,m,high
154,m,high
155,m,high
158,m,high
164,m,high
165,m,high
171,m,low
173,m,high
176,m,high
177,m,low
178,m,high
179,m,low
182,m,high
184,m,high
185,m,high
190,m,high
193,m,low
196,m,high
199,m,high
202,m,low
203,m,high
207,m,low
216,m,low
219,m,high
225,m,high
227,m,low
229,m,low
236,m,low
242,m,low
243,m,low
245,m,high
249,m,low
250,m,low
255,m,high
263,m,low
270,m,high
271,m,high
273,m,high
280,m,low
294,m,low
1,w,high
2,w,low
8,w,high
10,w,low
11,w,high
17,w,high
31,w,low
32,w,low
34,w,low
38,w,high
40,w,high
42,w,high
46,w,high
47,w,high
50,w,high
54,w,low
55,w,high
56,w,low
57,w,high
60,w,high
63,w,low
65,w,high
68,w,low
74,w,low
75,w,high
81,w,high
84,w,high
87,w,high
94,w,low
99,w,high
100,w,high
102,w,high
104,w,low
105,w,low
112,w,low
117,w,high
118,w,high
121,w,high
125,w,high
126,w,high
127,w,low
128,w,low
130,w,low
133,w,high
138,w,high
140,w,high
142,w,high
143,w,high
148,w,low
149,w,low
152,w,low
153,w,high
156,w,high
160,w,high
161,w,low
163,w,high
168,w,low
169,w,low
174,w,low
180,w,high
183,w,high
188,w,high
191,w,low
192,w,high
197,w,low
200,w,high
201,w,low
205,w,low
211,w,low
213,w,low
214,w,low
215,w,low
217,w,low
218,w,high
223,w,high
224,w,low
232,w,high
238,w,high
240,w,high
244,w,high
248,w,high
252,w,high
257,w,high
258,w,high
260,w,low
261,w,low
262,w,low
265,w,low
266,w,low
269,w,low
272,w,high
275,w,low
277,w,high
278,w,low
279,w,low
281,w,low
282,w,high
284,w,high
287,w,low
290,w,high
291,w,high
295,w,high
300,w,high
