listener_pseudonym,listener_age,listener_gender,listener_language,sample_heard,speaker_ID,speaker_pseudonym,speaker_gender,speaker_age,unsympathisch,sicher,attraktiv,verstaendnislos,unentschieden,unaufdringlich,distanziert,gelangweilt,emotional,nicht_genervt,aktiv,angenehm,charakterlos,gesellig,entspannt,mitfuehlend,dominant,unaffektiert,herzlich,alt,unsachlich,ruhig,inkompetent,haesslich,freundlich,maennlich,gehorsam,gleichgueltig,interessant,zynisch,aufgesetzt,intelligent,kindlich,bescheiden
Rater001,23,male,Deutsch,m016_beirut_stimulus.wav,016,beirut,male,21,0,85,68,15,13,20,20,15,84,95,93,75,11,91,40,93,69,91,96,10,35,28,13,40,97,91,42,25,78,58,33,82,73,64
Rater001,23,male,Deutsch,m023_malabo_stimulus.wav,023,malabo,male,30,78,33,28,30,15,81,91,64,4,80,76,67,70,26,83,6,63,70,6,90,4,92,10,70,65,100,60,72,58,56,15,76,12,63
Rater001,23,male,Deutsch,m044_stanley_stimulus.wav,044,stanley,male,27,19,86,21,11,28,38,29,68,39,43,76,24,33,12,73,15,70,29,19,79,16,70,18,91,38,90,39,26,13,70,87,23,34,44
Rater001,23,male,Deutsch,m071_jamestown_stimulus.wav,071,jamestown,male,30,5,97,73,17,8,96,31,13,80,100,96,95,15,98,79,91,70,97,86,65,23,99,7,31,96,100,73,6,93,19,8,87,8,91
Rater001,23,male,Deutsch,m076_prague_stimulus.wav,076,prague,male,23,91,24,0,15,20,38,84,74,22,39,35,15,42,21,5,31,57,18,22,0,29,5,91,93,37,36,75,67,16,20,89,10,94,41
Rater001,23,male,Deutsch,m091_tiraspol_stimulus.wav,091,tiraspol,male,25,37,80,30,36,6,79,74,22,31,94,72,67,71,27,78,30,68,72,24,35,15,36,20,71,71,92,64,28,72,32,93,32,35,60
Rater001,23,male,Deutsch,m129_kuwaitcity_stimulus.wav,129,kuwaitcity,male,30,89,81,36,15,3,25,68,30,68,36,84,76,14,73,69,76,69,33,67,86,28,81,3,38,76,100,41,27,77,62,31,92,8,42
Rater001,23,male,Deutsch,m136_saintpetersburg_stimulus.wav,136,saintpetersburg,male,34,70,92,16,25,15,72,90,29,21,31,67,37,38,13,21,9,38,73,24,13,17,91,72,90,64,81,29,34,70,63,80,25,67,68
Rater001,23,male,Deutsch,m147_vilnius_stimulus.wav,147,vilnius,male,25,19,76,61,21,19,78,95,70,14,71,80,93,28,72,89,10,32,96,5,71,14,95,11,31,66,87,77,86,74,21,13,84,7,86
Rater001,23,male,Deutsch,m155_blantyre_stimulus.wav,155,blantyre,male,28,11,65,28,9,19,68,22,75,20,84,17,65,28,37,85,30,38,69,37,19,13,87,34,63,78,83,77,67,31,22,81,17,62,66
Rater001,23,male,Deutsch,m178_ouagadougou_stimulus.wav,178,ouagadougou,male,30,27,87,42,24,13,82,76,18,22,65,34,73,60,88,87,81,16,80,80,25,38,76,35,38,94,57,73,20,68,30,10,83,18,77
Rater001,23,male,Deutsch,m196_dublin_stimulus.wav,196,dublin,male,30,12,85,66,31,9,33,14,20,85,89,86,90,8,94,33,89,65,74,86,76,22,22,6,35,95,100,70,14,74,24,20,68,6,71
Rater001,23,male,Deutsch,m202_oslo_stimulus.wav,202,oslo,male,26,100,75,0,17,16,14,84,71,20,27,81,1,16,12,73,15,78,1,4,95,73,68,15,98,6,100,12,84,32,96,94,0,35,8
Rater001,23,male,Deutsch,m247_aleppo_stimulus.wav,247,aleppo,male,22,78,81,24,26,19,40,69,35,69,74,79,30,65,26,38,23,64,27,27,13,39,17,19,71,43,73,63,34,43,59,87,14,73,25
Rater001,23,male,Deutsch,m263_andorralavella_stimulus.wav,263,andorralavella,male,26,12,69,59,22,9,73,37,68,60,77,91,80,11,69,88,68,72,71,28,66,29,73,12,43,62,86,44,73,61,59,14,74,30,37
Rater001,23,male,Deutsch,m294_portauprince_stimulus.wav,294,portauprince,male,22,11,5,0,17,89,19,29,66,24,85,26,7,35,29,4,31,88,8,31,84,63,76,95,98,21,98,11,73,31,98,79,0,23,24
Rater001,23,male,Deutsch,m297_vaduz_stimulus.wav,297,vaduz,male,22,94,72,22,27,20,10,90,29,77,35,92,30,29,21,71,22,81,19,31,66,29,14,25,69,22,87,36,15,75,66,90,71,29,33
Rater001,23,male,Deutsch,w001_lelydorp_stimulus.wav,001,lelydorp,female,28,34,79,86,33,4,77,38,6,61,85,84,90,28,80,69,80,65,96,79,69,75,72,2,24,87,0,62,17,79,22,41,88,14,59
Rater001,23,male,Deutsch,w009_durres_stimulus.wav,009,durres,female,30,21,17,84,19,16,97,24,26,33,89,22,88,7,67,93,90,15,85,83,14,38,72,63,20,88,0,83,19,72,29,17,64,66,87
Rater001,23,male,Deutsch,w015_francistown_stimulus.wav,015,francistown,female,22,35,28,64,38,35,70,84,41,33,63,23,74,73,35,66,20,44,73,31,7,24,89,40,38,75,18,66,69,56,31,9,69,41,68
Rater001,23,male,Deutsch,w027_riffa_stimulus.wav,027,riffa,female,29,18,26,35,30,16,78,81,70,21,72,26,64,66,31,43,23,62,60,35,67,18,81,62,68,75,18,56,67,28,44,22,34,28,65
Rater001,23,male,Deutsch,w029_speightstown_stimulus.wav,029,speightstown,female,29,28,15,0,13,5,69,73,69,33,64,96,62,5,7,16,36,63,63,10,8,27,4,88,92,61,59,85,72,20,27,98,6,95,64
Rater001,23,male,Deutsch,w032_cordoba_stimulus.wav,032,cordoba,female,30,87,0,2,85,97,17,85,86,0,12,8,19,74,0,77,8,96,10,0,93,0,85,92,95,11,0,15,93,5,79,100,22,9,23
Rater001,23,male,Deutsch,w034_burntpine_stimulus.wav,034,burntpine,female,26,91,88,5,65,4,19,88,83,34,11,75,8,25,6,77,16,96,5,5,80,12,85,7,90,0,32,19,89,16,79,97,58,26,18
Rater001,23,male,Deutsch,w068_minsk_stimulus.wav,068,minsk,female,21,64,17,15,19,20,20,42,40,67,34,70,35,19,37,9,7,75,40,28,12,21,2,30,79,35,21,37,29,66,59,94,12,73,41
Rater001,23,male,Deutsch,w104_kathmandu_stimulus.wav,104,kathmandu,female,26,72,68,72,35,14,64,76,27,57,66,91,76,15,63,35,60,68,71,59,81,28,80,38,33,82,16,73,37,61,27,21,77,22,64
Rater001,23,male,Deutsch,w120_abuja_stimulus.wav,120,abuja,female,28,83,90,14,30,13,65,75,79,30,63,69,39,38,32,67,34,66,37,62,88,21,68,31,79,42,15,63,62,34,59,38,70,13,60
Rater001,23,male,Deutsch,w127_lusaka_stimulus.wav,127,lusaka,female,33,76,0,19,67,74,29,88,84,8,71,9,16,30,7,0,22,37,14,9,77,10,80,71,67,13,11,29,94,19,65,11,8,33,66
Rater001,23,male,Deutsch,w142_phnompenh_stimulus.wav,142,phnompenh,female,25,72,22,39,28,14,40,79,64,28,30,73,41,22,32,64,68,25,44,23,38,40,29,65,55,31,23,61,10,37,41,73,44,45,44
Rater001,23,male,Deutsch,w157_georgetown_stimulus.wav,157,georgetown,female,27,87,13,8,40,21,68,96,95,3,19,31,34,85,0,32,0,69,17,2,58,4,85,30,70,25,21,33,90,14,65,97,65,22,34
Rater001,23,male,Deutsch,w188_quito_stimulus.wav,188,quito,female,20,21,3,65,26,87,19,7,5,100,98,95,90,0,100,8,92,35,95,100,0,78,5,70,31,100,0,43,4,92,60,70,6,95,88
Rater001,23,male,Deutsch,w195_aljahra_stimulus.wav,195,aljahra,female,26,28,11,33,19,27,64,71,36,35,39,75,43,67,28,0,23,39,64,37,23,34,0,69,65,60,17,65,37,69,24,83,29,72,63
Rater001,23,male,Deutsch,w197_westisland_stimulus.wav,197,westisland,female,30,77,75,22,42,18,31,81,63,66,27,82,38,23,9,78,11,76,41,11,27,43,84,20,70,38,15,36,90,69,58,27,65,33,42
Rater001,23,male,Deutsch,w204_nukualofa_stimulus.wav,204,nukualofa,female,31,34,31,25,31,20,37,81,69,29,63,26,41,73,18,72,24,60,64,41,81,13,75,31,65,45,34,55,86,43,45,92,58,21,63
Rater001,23,male,Deutsch,w252_thessaloniki_stimulus.wav,252,thessaloniki,female,21,21,28,67,27,17,74,20,33,31,79,85,86,18,76,68,80,25,61,73,0,16,78,69,23,100,0,77,30,65,19,24,58,75,74
Rater001,23,male,Deutsch,w261_bishkek_stimulus.wav,261,bishkek,female,19,36,19,0,32,40,75,63,30,37,79,35,43,28,45,14,68,23,63,80,29,41,32,76,71,76,41,80,44,34,24,33,32,71,67
Rater001,23,male,Deutsch,w269_warsaw_stimulus.wav,269,warsaw,female,27,24,73,78,29,13,78,34,28,63,88,85,88,12,39,77,72,67,66,69,29,19,84,20,13,91,0,69,32,40,34,24,73,16,65
Rater001,23,male,Deutsch,w276_yei_stimulus.wav,276,yei,female,27,69,61,23,18,58,67,91,62,21,83,35,59,68,34,63,30,60,64,33,70,21,84,35,75,46,0,60,68,38,33,64,46,19,62
Rater001,23,male,Deutsch,w286_maseru_stimulus.wav,286,maseru,female,22,33,39,30,40,22,24,31,36,66,73,61,65,31,73,33,64,63,64,61,28,38,36,23,61,69,61,42,39,56,41,64,69,67,60
Rater001,23,male,Deutsch,w292_douala_stimulus.wav,292,douala,female,19,76,90,77,84,9,36,100,61,19,28,88,31,37,23,79,29,63,75,20,27,14,72,19,35,38,0,24,15,73,59,12,67,32,30
Rater002,36,male,Deutsch,m006_rabat_stimulus.wav,006,rabat,male,22,54,57,37,33,44,31,33,44,73,58,67,36,34,70,43,69,45,34,76,34,57,41,48,58,66,61,37,37,47,39,36,35,58,42
Rater002,36,male,Deutsch,m018_rotterdam_stimulus.wav,018,rotterdam,male,25,41,69,58,42,28,57,40,42,37,38,72,63,24,58,41,66,78,20,76,64,76,45,41,43,40,82,19,42,55,70,66,58,24,13
Rater002,36,male,Deutsch,m023_malabo_stimulus.wav,023,malabo,male,30,57,58,44,56,43,69,59,62,23,62,60,68,40,28,75,42,60,71,30,76,21,77,34,53,34,91,69,67,28,19,24,58,20,61
Rater002,36,male,Deutsch,m036_adducity_stimulus.wav,036,adducity,male,20,73,59,24,60,44,37,75,75,35,44,65,36,73,32,43,28,59,15,29,27,45,67,40,57,42,54,56,88,31,45,82,40,46,40
Rater002,36,male,Deutsch,m043_colon_stimulus.wav,043,colon,male,34,58,56,45,71,41,28,58,57,45,33,58,26,43,35,55,42,57,27,40,72,40,56,40,58,38,82,29,55,37,64,22,62,19,43
Rater002,36,male,Deutsch,m044_stanley_stimulus.wav,044,stanley,male,27,47,72,70,46,28,68,46,36,59,54,66,74,44,59,57,54,68,80,54,71,32,81,21,34,65,87,64,63,45,36,16,64,14,66
Rater002,36,male,Deutsch,m076_prague_stimulus.wav,076,prague,male,23,56,20,40,43,83,23,46,38,58,78,28,26,62,37,24,58,31,69,59,3,42,25,73,59,43,58,68,67,40,32,71,39,86,38
Rater002,36,male,Deutsch,m086_kualalumpur_stimulus.wav,086,kualalumpur,male,24,62,54,42,42,45,29,58,76,34,46,31,40,77,38,41,41,36,23,41,28,41,65,56,58,46,71,57,78,26,43,79,44,30,46
Rater002,36,male,Deutsch,m092_saopaulo_stimulus.wav,092,saopaulo,male,26,45,43,42,27,61,66,40,42,36,72,38,59,58,31,73,70,37,61,61,37,42,74,61,42,57,67,60,60,23,41,68,46,37,81
Rater002,36,male,Deutsch,m096_helsinki_stimulus.wav,096,helsinki,male,21,70,44,25,32,58,61,60,60,17,44,41,41,43,22,79,26,19,73,35,40,33,68,88,62,37,71,68,63,8,37,69,27,19,41
Rater002,36,male,Deutsch,m106_zurich_stimulus.wav,106,zurich,male,29,46,71,58,44,37,42,46,45,59,55,64,61,42,38,76,56,55,39,54,73,38,81,31,46,57,90,34,65,59,45,38,66,15,67
Rater002,36,male,Deutsch,m122_koror_stimulus.wav,122,koror,male,27,42,65,65,40,38,64,41,43,62,82,72,64,33,65,43,69,57,46,66,27,40,82,55,43,64,76,64,58,43,33,22,34,24,76
Rater002,36,male,Deutsch,m124_havana_stimulus.wav,124,havana,male,27,65,36,36,34,59,66,36,61,18,57,25,36,70,31,36,59,37,33,60,38,33,31,83,60,63,84,82,64,22,20,92,21,33,55
Rater002,36,male,Deutsch,m137_asau_stimulus.wav,137,asau,male,31,57,42,38,54,57,28,61,39,38,40,58,40,47,58,18,55,68,35,58,31,42,15,56,60,41,70,38,66,41,60,78,33,32,40
Rater002,36,male,Deutsch,m150_zinder_stimulus.wav,150,zinder,male,25,42,31,54,44,66,71,39,66,56,32,34,58,43,58,70,61,42,31,68,30,69,72,60,43,68,85,30,84,38,73,38,44,19,72
Rater002,36,male,Deutsch,m184_gustavia_stimulus.wav,184,gustavia,male,25,43,43,57,40,60,31,44,35,59,62,65,58,43,81,39,66,33,66,78,20,39,33,60,41,61,73,64,42,42,40,20,42,29,66
Rater002,36,male,Deutsch,m254_karachi_stimulus.wav,254,karachi,male,34,43,56,37,42,44,62,44,46,40,59,67,40,46,59,61,59,43,58,58,83,38,90,43,61,62,90,77,68,42,28,71,57,11,66
Rater002,36,male,Deutsch,w002_moundou_stimulus.wav,002,moundou,female,28,53,72,42,53,29,21,45,61,61,45,67,33,55,58,39,45,63,21,27,60,69,73,34,58,40,37,26,41,43,79,89,37,21,46
Rater002,36,male,Deutsch,w029_speightstown_stimulus.wav,029,speightstown,female,29,39,31,58,40,61,58,38,37,41,70,31,57,39,61,28,70,29,65,67,31,39,20,56,41,76,20,64,34,39,33,13,40,34,71
Rater002,36,male,Deutsch,w031_tartu_stimulus.wav,031,tartu,female,26,56,43,41,30,56,73,33,55,26,56,60,44,39,44,23,57,38,68,57,23,56,62,64,58,58,22,57,42,40,39,64,41,32,68
Rater002,36,male,Deutsch,w056_damascus_stimulus.wav,056,damascus,female,27,63,57,31,58,36,32,29,45,59,31,68,25,41,59,41,56,59,42,57,13,56,40,54,56,33,8,40,56,40,55,31,28,29,30
Rater002,36,male,Deutsch,w107_garapan_stimulus.wav,107,garapan,female,27,55,43,58,30,62,41,29,42,59,69,24,57,38,68,22,62,31,58,78,27,29,43,67,41,63,17,40,36,40,18,84,35,38,67
Rater002,36,male,Deutsch,w118_tarawa_stimulus.wav,118,tarawa,female,30,55,42,56,45,62,43,57,57,59,44,37,44,47,43,46,45,41,56,42,17,45,57,55,42,46,21,61,55,32,34,46,46,38,44
Rater002,36,male,Deutsch,w120_abuja_stimulus.wav,120,abuja,female,28,42,72,54,41,28,56,60,37,44,58,72,67,32,60,59,37,76,60,38,65,22,82,21,45,59,28,68,64,36,32,29,63,14,59
Rater002,36,male,Deutsch,w130_gulu_stimulus.wav,130,gulu,female,25,58,72,61,31,29,33,40,43,65,46,82,37,47,33,42,57,63,23,57,38,41,33,36,56,59,11,56,43,29,44,14,63,31,62
Rater002,36,male,Deutsch,w138_tallinn_stimulus.wav,138,tallinn,female,26,47,63,74,47,38,61,47,39,66,54,69,78,46,74,44,53,57,77,53,30,35,53,38,19,53,13,58,52,61,42,14,63,41,73
Rater002,36,male,Deutsch,w142_phnompenh_stimulus.wav,142,phnompenh,female,25,55,67,68,45,36,34,43,30,69,53,71,57,38,72,32,56,64,84,55,64,30,46,40,39,72,13,33,34,61,39,18,64,33,36
Rater002,36,male,Deutsch,w143_jomala_stimulus.wav,143,jomala,female,29,34,56,54,21,32,64,28,32,69,89,70,47,61,58,49,71,40,67,60,23,30,44,35,49,81,3,42,38,33,46,29,45,74,41
Rater002,36,male,Deutsch,w145_portlouis_stimulus.wav,145,portlouis,female,30,52,39,46,61,69,62,41,44,58,43,43,42,62,39,44,40,42,32,41,62,61,32,57,56,43,29,32,42,43,80,63,44,28,35
Rater002,36,male,Deutsch,w159_adamstown_stimulus.wav,159,adamstown,female,21,55,87,56,44,8,77,57,44,28,29,83,64,36,20,72,42,70,24,23,70,14,37,24,40,46,14,35,28,58,25,65,74,15,48
Rater002,36,male,Deutsch,w163_valletta_stimulus.wav,163,valletta,female,22,40,65,48,35,41,54,61,46,31,61,61,46,40,44,42,34,55,60,61,75,31,69,49,53,58,6,42,58,46,68,52,61,10,53
Rater002,36,male,Deutsch,w191_panamacity_stimulus.wav,191,panamacity,female,31,47,69,43,46,34,58,42,45,33,43,62,45,45,56,33,53,58,64,54,73,37,72,47,57,54,21,54,45,39,45,40,58,15,56
Rater002,36,male,Deutsch,w201_niamey_stimulus.wav,201,niamey,female,26,46,58,34,43,46,56,44,55,49,30,59,23,45,48,40,55,46,57,54,66,42,41,48,57,75,42,45,47,47,56,60,46,13,55
Rater002,36,male,Deutsch,w215_djibouti_stimulus.wav,215,djibouti,female,29,60,72,45,52,32,74,64,86,23,61,32,52,47,33,76,30,56,63,35,69,19,78,46,48,65,15,66,58,30,55,63,48,9,62
Rater002,36,male,Deutsch,w222_islamabad_stimulus.wav,222,islamabad,female,26,54,60,42,41,37,20,41,40,88,76,86,30,28,74,32,69,64,76,69,18,35,27,57,57,64,11,38,32,27,54,19,46,33,27
