mean_acc_A,model,params,stdev_acc_A
-95.69027446854753,DecisionTreeRegressor,"{'regressor__estimator__max_features': 11, 'regressor__estimator__max_depth': 13}",3.0301492469570137
-95.51471327197808,DecisionTreeRegressor,"{'regressor__estimator__max_features': 47, 'regressor__estimator__max_depth': 18}",2.6002897835150054
-96.70969073378356,DecisionTreeRegressor,"{'regressor__estimator__max_features': 30, 'regressor__estimator__max_depth': 17}",2.914690794814782
-110.05791164495764,DecisionTreeRegressor,"{'regressor__estimator__max_features': 5, 'regressor__estimator__max_depth': 19}",3.85548283712728
-100.01925967707852,DecisionTreeRegressor,"{'regressor__estimator__max_features': 15, 'regressor__estimator__max_depth': 19}",2.3083215919844386
-91.43687098961801,DecisionTreeRegressor,"{'regressor__estimator__max_features': 45, 'regressor__estimator__max_depth': 13}",2.438305351816701
-96.0313996551955,DecisionTreeRegressor,"{'regressor__estimator__max_features': 42, 'regressor__estimator__max_depth': 17}",2.267269323510119
-102.03350078689854,DecisionTreeRegressor,"{'regressor__estimator__max_features': 4, 'regressor__estimator__max_depth': 13}",2.2168240160965644
-72.57415930381289,DecisionTreeRegressor,"{'regressor__estimator__max_features': 20, 'regressor__estimator__max_depth': 6}",2.4005794550814388
-70.72334230517596,DecisionTreeRegressor,"{'regressor__estimator__max_features': 42, 'regressor__estimator__max_depth': 5}",2.3661591938112205
-95.09664376134037,DecisionTreeRegressor,"{'regressor__estimator__max_features': 49, 'regressor__estimator__max_depth': 16}",1.9450531993811437
-72.66733508923599,DecisionTreeRegressor,"{'regressor__estimator__max_features': 25, 'regressor__estimator__max_depth': 6}",2.0147257759104384
-79.67758943078388,DecisionTreeRegressor,"{'regressor__estimator__max_features': 41, 'regressor__estimator__max_depth': 9}",1.9675384765115564
-93.75150797978958,DecisionTreeRegressor,"{'regressor__estimator__max_features': 45, 'regressor__estimator__max_depth': 15}",1.917990077844741
-71.24883951080385,DecisionTreeRegressor,"{'regressor__estimator__max_features': 37, 'regressor__estimator__max_depth': 6}",2.5519983135091606
-84.8530318932575,DecisionTreeRegressor,"{'regressor__estimator__max_features': 3, 'regressor__estimator__max_depth': 3}",4.0185109693225
-97.49002355694718,DecisionTreeRegressor,"{'regressor__estimator__max_features': 3, 'regressor__estimator__max_depth': 11}",2.5798407144678372
-81.51234274220928,DecisionTreeRegressor,"{'regressor__estimator__max_features': 14, 'regressor__estimator__max_depth': 9}",2.0778534207520156
-97.1389016401862,DecisionTreeRegressor,"{'regressor__estimator__max_features': 33, 'regressor__estimator__max_depth': 18}",3.359256358549341
-97.15331677741688,DecisionTreeRegressor,"{'regressor__estimator__max_features': 22, 'regressor__estimator__max_depth': 17}",2.6026593703334417
-74.02287183591598,DecisionTreeRegressor,"{'regressor__estimator__max_features': 31, 'regressor__estimator__max_depth': 7}",2.953759941879431
-96.0276736307722,DecisionTreeRegressor,"{'regressor__estimator__max_features': 28, 'regressor__estimator__max_depth': 16}",2.893825898293979
-97.4767119297916,DecisionTreeRegressor,"{'regressor__estimator__max_features': 18, 'regressor__estimator__max_depth': 15}",2.2282411410768312
-104.30710836892582,DecisionTreeRegressor,"{'regressor__estimator__max_features': 9, 'regressor__estimator__max_depth': 19}",2.944258578874768
-96.57481416187123,DecisionTreeRegressor,"{'regressor__estimator__max_features': 30, 'regressor__estimator__max_depth': 19}",2.396347300660356
-73.03543705974053,DecisionTreeRegressor,"{'regressor__estimator__max_features': 27, 'regressor__estimator__max_depth': 3}",1.966993797331315
-86.64486569229554,DecisionTreeRegressor,"{'regressor__estimator__max_features': 39, 'regressor__estimator__max_depth': 11}",1.899337310627137
-93.44621557873894,DecisionTreeRegressor,"{'regressor__estimator__max_features': 43, 'regressor__estimator__max_depth': 15}",2.981207350250553
-93.53210535862158,DecisionTreeRegressor,"{'regressor__estimator__max_features': 29, 'regressor__estimator__max_depth': 14}",2.6185999288884663
-87.31887081952554,DecisionTreeRegressor,"{'regressor__estimator__max_features': 9, 'regressor__estimator__max_depth': 10}",1.9164181463652115
