mean_acc_A,model,params,stdev_acc_A
-77.23476805689424,DecisionTreeRegressor,"{'regressor__estimator__max_features': 36, 'regressor__estimator__max_depth': 5}",4.151085365774739
-79.2302233010008,DecisionTreeRegressor,"{'regressor__estimator__max_features': 20, 'regressor__estimator__max_depth': 4}",4.369693271747705
-77.54802225574146,DecisionTreeRegressor,"{'regressor__estimator__max_features': 39, 'regressor__estimator__max_depth': 3}",4.445423838569426
-78.69131439706933,DecisionTreeRegressor,"{'regressor__estimator__max_features': 38, 'regressor__estimator__max_depth': 5}",3.1822378047040556
-77.57485778745222,DecisionTreeRegressor,"{'regressor__estimator__max_features': 31, 'regressor__estimator__max_depth': 5}",3.7720972684360525
-76.49310979691835,DecisionTreeRegressor,"{'regressor__estimator__max_features': 39, 'regressor__estimator__max_depth': 4}",5.259593262498123
-81.87489876536354,DecisionTreeRegressor,"{'regressor__estimator__max_features': 21, 'regressor__estimator__max_depth': 2}",5.197002039333154
-76.68054023219236,DecisionTreeRegressor,"{'regressor__estimator__max_features': 36, 'regressor__estimator__max_depth': 4}",3.431573769386237
-81.27215364989995,DecisionTreeRegressor,"{'regressor__estimator__max_features': 26, 'regressor__estimator__max_depth': 2}",5.042584293752334
-80.96160459435285,DecisionTreeRegressor,"{'regressor__estimator__max_features': 37, 'regressor__estimator__max_depth': 2}",4.667662614664151
-77.07030088995535,DecisionTreeRegressor,"{'regressor__estimator__max_features': 32, 'regressor__estimator__max_depth': 4}",4.49703658909818
-77.41469376433959,DecisionTreeRegressor,"{'regressor__estimator__max_features': 34, 'regressor__estimator__max_depth': 3}",5.102892055645013
-80.93719659915509,DecisionTreeRegressor,"{'regressor__estimator__max_features': 35, 'regressor__estimator__max_depth': 2}",5.243902186649279
-80.04233533273305,DecisionTreeRegressor,"{'regressor__estimator__max_features': 20, 'regressor__estimator__max_depth': 3}",4.966858321401233
-77.96646257859493,DecisionTreeRegressor,"{'regressor__estimator__max_features': 30, 'regressor__estimator__max_depth': 5}",5.421863696185073
-79.48388809810339,DecisionTreeRegressor,"{'regressor__estimator__max_features': 29, 'regressor__estimator__max_depth': 3}",4.197572279735529
-76.84318442475502,DecisionTreeRegressor,"{'regressor__estimator__max_features': 37, 'regressor__estimator__max_depth': 4}",4.707806373595068
-79.60815368996263,DecisionTreeRegressor,"{'regressor__estimator__max_features': 28, 'regressor__estimator__max_depth': 3}",4.601135534589678
-80.45120695593508,DecisionTreeRegressor,"{'regressor__estimator__max_features': 39, 'regressor__estimator__max_depth': 2}",6.09587668671663
-77.28496860180053,DecisionTreeRegressor,"{'regressor__estimator__max_features': 33, 'regressor__estimator__max_depth': 5}",5.681874769406872
-77.81388326810068,DecisionTreeRegressor,"{'regressor__estimator__max_features': 32, 'regressor__estimator__max_depth': 3}",4.917903426058919
-76.50076364350919,DecisionTreeRegressor,"{'regressor__estimator__max_features': 38, 'regressor__estimator__max_depth': 4}",4.617631398945584
-80.62222216366673,DecisionTreeRegressor,"{'regressor__estimator__max_features': 25, 'regressor__estimator__max_depth': 3}",4.103640052995007
-77.35542369936947,DecisionTreeRegressor,"{'regressor__estimator__max_features': 29, 'regressor__estimator__max_depth': 5}",4.825490107513384
-79.05428092011718,DecisionTreeRegressor,"{'regressor__estimator__max_features': 21, 'regressor__estimator__max_depth': 4}",4.716091300615919
-81.47421936894443,DecisionTreeRegressor,"{'regressor__estimator__max_features': 28, 'regressor__estimator__max_depth': 2}",5.0996957568767645
-78.54311915648665,DecisionTreeRegressor,"{'regressor__estimator__max_features': 28, 'regressor__estimator__max_depth': 5}",3.585883827397524
-78.61682971781474,DecisionTreeRegressor,"{'regressor__estimator__max_features': 26, 'regressor__estimator__max_depth': 3}",4.950811824604201
-81.44443639628096,DecisionTreeRegressor,"{'regressor__estimator__max_features': 22, 'regressor__estimator__max_depth': 2}",4.876488022549213
-77.1457987876273,DecisionTreeRegressor,"{'regressor__estimator__max_features': 34, 'regressor__estimator__max_depth': 5}",4.709762675057943
