mean_acc_A,model,params,stdev_acc_A
-101.5131635348276,DecisionTreeRegressor,"{'selecter__k': 81, 'regressor__min_samples_split': 16, 'regressor__max_depth': 8}",9.670644909726903
-90.86464721724649,DecisionTreeRegressor,"{'selecter__k': 60, 'regressor__min_samples_split': 19, 'regressor__max_depth': 3}",8.853188814601456
-91.07739739451453,DecisionTreeRegressor,"{'selecter__k': 71, 'regressor__min_samples_split': 19, 'regressor__max_depth': 3}",8.704324298024245
-90.78333185690938,DecisionTreeRegressor,"{'selecter__k': 38, 'regressor__min_samples_split': 4, 'regressor__max_depth': 3}",8.956657951376652
-92.51941823891157,DecisionTreeRegressor,"{'selecter__k': 39, 'regressor__min_samples_split': 18, 'regressor__max_depth': 6}",11.546635481981268
-98.06079267074212,DecisionTreeRegressor,"{'selecter__k': 3, 'regressor__min_samples_split': 16, 'regressor__max_depth': 6}",9.791967233879395
-111.18390199752464,DecisionTreeRegressor,"{'selecter__k': 4, 'regressor__min_samples_split': 5, 'regressor__max_depth': 8}",8.529100689615342
-92.43652857256659,DecisionTreeRegressor,"{'selecter__k': 46, 'regressor__min_samples_split': 12, 'regressor__max_depth': 6}",11.451757039792424
-101.44249467639379,DecisionTreeRegressor,"{'selecter__k': 48, 'regressor__min_samples_split': 2, 'regressor__max_depth': 8}",15.075382338033336
-94.09631697366028,DecisionTreeRegressor,"{'selecter__k': 53, 'regressor__min_samples_split': 13, 'regressor__max_depth': 6}",12.82177546691668
-99.97982609372568,DecisionTreeRegressor,"{'selecter__k': 20, 'regressor__min_samples_split': 16, 'regressor__max_depth': 8}",11.529378901869777
-98.24266460867914,DecisionTreeRegressor,"{'selecter__k': 26, 'regressor__min_samples_split': 4, 'regressor__max_depth': 8}",12.471388500511948
-90.71539894071664,DecisionTreeRegressor,"{'selecter__k': 34, 'regressor__min_samples_split': 7, 'regressor__max_depth': 3}",9.120996590260658
-104.40975117880298,DecisionTreeRegressor,"{'selecter__k': 61, 'regressor__min_samples_split': 8, 'regressor__max_depth': 8}",13.709514297876503
-96.01253066501371,DecisionTreeRegressor,"{'selecter__k': 9, 'regressor__min_samples_split': 9, 'regressor__max_depth': 5}",9.963905299783054
-98.87127399029052,DecisionTreeRegressor,"{'selecter__k': 1, 'regressor__min_samples_split': 10, 'regressor__max_depth': 6}",9.32221370459302
-93.14168737527629,DecisionTreeRegressor,"{'selecter__k': 27, 'regressor__min_samples_split': 16, 'regressor__max_depth': 7}",12.682035261611956
