mean_acc_A,model,params,stdev_acc_A
-94.31864909121894,ElasticNet,{'selecter__k': 1},7.327736945455305
-94.01303449260547,ElasticNet,{'selecter__k': 2},7.368394395550744
-93.56138455471815,ElasticNet,{'selecter__k': 3},6.963506259409065
-93.3275073354485,ElasticNet,{'selecter__k': 4},6.94623935075938
-92.89890315875628,ElasticNet,{'selecter__k': 5},6.8207570172842855
-92.38431440102752,ElasticNet,{'selecter__k': 6},6.8400395024117895
-92.02833663397755,ElasticNet,{'selecter__k': 7},6.665115576306483
-92.00129023356736,ElasticNet,{'selecter__k': 8},6.628884371601961
-91.97970132453761,ElasticNet,{'selecter__k': 9},6.594671331480256
-91.86265049805498,ElasticNet,{'selecter__k': 10},6.664188356089874
-91.78591623519587,ElasticNet,{'selecter__k': 11},6.704796747139191
-91.74386944230753,ElasticNet,{'selecter__k': 12},6.718728205992696
-91.65351967880927,ElasticNet,{'selecter__k': 13},6.797928975718206
-91.63959857982442,ElasticNet,{'selecter__k': 14},6.793523468470908
-91.57558621983321,ElasticNet,{'selecter__k': 15},6.813999841363353
-91.57735577710321,ElasticNet,{'selecter__k': 16},6.758860284922267
-91.44117291144501,ElasticNet,{'selecter__k': 17},6.734483372381469
-91.30395126311839,ElasticNet,{'selecter__k': 18},6.751538777543886
-91.2704835444701,ElasticNet,{'selecter__k': 19},6.712781347739792
-91.29769787480649,ElasticNet,{'selecter__k': 20},6.708124735383038
-91.30878104657928,ElasticNet,{'selecter__k': 21},6.712971586169194
-91.30877765644861,ElasticNet,{'selecter__k': 22},6.712967791244286
-91.29745637443341,ElasticNet,{'selecter__k': 23},6.720237506087801
-91.27723916189446,ElasticNet,{'selecter__k': 24},6.71893475532319
-91.2779424913089,ElasticNet,{'selecter__k': 25},6.720055799827882
-91.25792518007599,ElasticNet,{'selecter__k': 26},6.737766671627643
-91.25632060748443,ElasticNet,{'selecter__k': 27},6.740453002149978
-91.2557449252097,ElasticNet,{'selecter__k': 28},6.740173105726295
-91.24950956962589,ElasticNet,{'selecter__k': 29},6.7471753610708936
-91.23804468083215,ElasticNet,{'selecter__k': 30},6.760087098771055
-91.24088949652179,ElasticNet,{'selecter__k': 31},6.764223571868496
-91.23866145651279,ElasticNet,{'selecter__k': 32},6.759605599891714
-91.23866540855948,ElasticNet,{'selecter__k': 33},6.759601394256249
-91.22560528927606,ElasticNet,{'selecter__k': 34},6.749306508654886
-91.2256055791696,ElasticNet,{'selecter__k': 35},6.749306558993284
-91.22561545146183,ElasticNet,{'selecter__k': 36},6.749309073432664
-91.21182898027172,ElasticNet,{'selecter__k': 37},6.7531123257285905
-91.21182315786356,ElasticNet,{'selecter__k': 38},6.753116068613341
-91.18056502048262,ElasticNet,{'selecter__k': 39},6.795194120050332
-91.18056402901111,ElasticNet,{'selecter__k': 40},6.795194564234552
-91.14259233959389,ElasticNet,{'selecter__k': 41},6.769773463211775
-91.14711751083209,ElasticNet,{'selecter__k': 42},6.767749755349085
-91.07348097908982,ElasticNet,{'selecter__k': 43},6.7541775422761035
-91.07348097908982,ElasticNet,{'selecter__k': 44},6.7541775422761035
-91.07348155748421,ElasticNet,{'selecter__k': 45},6.7541772181146005
-91.07417165072478,ElasticNet,{'selecter__k': 46},6.752439683587748
-91.0354647086533,ElasticNet,{'selecter__k': 47},6.777035683293851
-91.0354647086533,ElasticNet,{'selecter__k': 48},6.777035683293851
-91.03546458891707,ElasticNet,{'selecter__k': 49},6.777035497087255
-91.03546458891707,ElasticNet,{'selecter__k': 50},6.777035497087255
-91.03536932741515,ElasticNet,{'selecter__k': 51},6.776972452619862
