mean_acc_A,model,params,stdev_acc_A
-91.74386944230753,ElasticNet,{'selecter__k': 12},6.718728205992696
-91.0354647086533,ElasticNet,{'selecter__k': 47},6.777035683293851
-91.21182898027172,ElasticNet,{'selecter__k': 37},6.7531123257285905
-91.30877765644861,ElasticNet,{'selecter__k': 22},6.712967791244286
-91.14711751083209,ElasticNet,{'selecter__k': 42},6.767749755349085
-91.03497101695797,ElasticNet,{'selecter__k': 82},6.7770755784298835
-91.03497132136526,ElasticNet,{'selecter__k': 62},6.777075378709162
-91.25632060748443,ElasticNet,{'selecter__k': 27},6.740453002149978
-92.02833663397755,ElasticNet,{'selecter__k': 7},6.665115576306483
-94.01303449260547,ElasticNet,{'selecter__k': 2},7.368394395550744
