mean_acc_A,model,params,stdev_acc_A
-60.07392942536214,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 44}",9.996174707314422
-58.93462663709036,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 45}",9.425237457352871
-57.568610033655006,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 46}",9.167425601466338
-56.786520431741955,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 47}",9.800143325911595
-56.40463373523377,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 48}",10.700213213261096
-55.99405929808815,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 49}",10.757965235820162
-55.85550185658331,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 50}",10.933882577727191
-54.92219942657656,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 51}",8.705251299531726
-56.99460221896361,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 52}",9.04263167533191
-54.68184905389213,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 53}",10.010050073595057
-52.31527995426436,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 54}",8.210312956217544
-52.20626891120424,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 55}",7.7941261715814845
-52.232677580354,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 56}",8.763944568706254
-51.924348135281924,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 57}",9.333999678355799
-50.841681763098535,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 58}",9.95649316129351
-51.83260928023231,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 59}",9.691632662035282
-50.76738983189026,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 60}",9.072520131078521
-49.37167786981275,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 61}",8.969360865032389
-48.616976194968636,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 62}",9.52964864466429
-49.276621972109744,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 63}",10.099451909647957
-49.63373366992933,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 64}",8.364609428853715
-49.71131375130385,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 65}",7.861671875868549
-50.44996445758176,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 66}",7.411245744662403
-49.90748604689217,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 67}",7.539147282067107
-50.323380107489,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 68}",8.020942484393142
-49.90807482502791,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 69}",8.312873216687157
-49.18923061802702,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 70}",7.219403987692566
-49.77280313278698,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 71}",7.209043072432347
-49.82531667578011,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 72}",7.462440442270977
-50.17009576514204,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 73}",7.909565390948947
-49.19017297477675,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 74}",6.694455955483155
-48.43569865561125,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 75}",6.414850140421191
-48.32984044861486,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 76}",6.953807164239603
-48.84073838043097,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 77}",7.0343491268075224
-49.50469330208494,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 78}",7.32980074416167
-49.29053560153631,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 79}",7.676402567006348
-49.113193239002854,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 80}",8.707981539769502
-49.418349965529295,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 81}",8.927993823509933
-49.1541005716009,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 82}",8.208908200418252
-48.163133124754495,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 83}",8.042580476646032
-47.88252106706769,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 84}",8.569643710917376
-48.57533212521908,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 85}",8.309012552383564
-49.02597694140366,KNeighborsRegressor,"{'regressor__algorithm': 'brute', 'regressor__n_neighbors': 3, 'regressor__weights': 'distance', 'selecter__k': 86}",7.872664326256804
