mean_acc_A,model,params,stdev_acc_A
-1.8327230331911402,KNeighborsRegressor,"{'selecter__k': 61, 'regressor__n_neighbors': 4}",0.18151479420964148
-1.9288197206756383,KNeighborsRegressor,"{'selecter__k': 55, 'regressor__n_neighbors': 7}",0.12324953275490494
-1.9198261290505558,KNeighborsRegressor,"{'selecter__k': 73, 'regressor__n_neighbors': 3}",0.15542872015648815
-1.8588052103514976,KNeighborsRegressor,"{'selecter__k': 60, 'regressor__n_neighbors': 4}",0.16489816204195243
-1.9912813349954646,KNeighborsRegressor,"{'selecter__k': 74, 'regressor__n_neighbors': 7}",0.18505267457410776
-2.052586057391413,KNeighborsRegressor,"{'selecter__k': 66, 'regressor__n_neighbors': 2}",0.24333592584525732
-1.9839200784795774,KNeighborsRegressor,"{'selecter__k': 52, 'regressor__n_neighbors': 7}",0.12768160574732734
-1.94525775140065,KNeighborsRegressor,"{'selecter__k': 83, 'regressor__n_neighbors': 2}",0.21915369658437414
-2.0397378761263636,KNeighborsRegressor,"{'selecter__k': 59, 'regressor__n_neighbors': 2}",0.179454815093589
-1.8800251369778977,KNeighborsRegressor,"{'selecter__k': 72, 'regressor__n_neighbors': 4}",0.1808579836778834
-2.6196527790222173,KNeighborsRegressor,"{'selecter__k': 79, 'regressor__n_neighbors': 1}",0.28893147214616227
-1.9035254077225512,KNeighborsRegressor,"{'selecter__k': 83, 'regressor__n_neighbors': 3}",0.16606101529536843
-2.603693237283174,KNeighborsRegressor,"{'selecter__k': 65, 'regressor__n_neighbors': 1}",0.44941324431501617
-2.0343334084703324,KNeighborsRegressor,"{'selecter__k': 76, 'regressor__n_neighbors': 8}",0.135867674031969
-1.9635548085708336,KNeighborsRegressor,"{'selecter__k': 58, 'regressor__n_neighbors': 7}",0.12283616166940611
-1.8574349942563344,KNeighborsRegressor,"{'selecter__k': 57, 'regressor__n_neighbors': 5}",0.14032866772732663
-2.665865315124906,KNeighborsRegressor,"{'selecter__k': 78, 'regressor__n_neighbors': 1}",0.244493342098681
-2.013003730366762,KNeighborsRegressor,"{'selecter__k': 71, 'regressor__n_neighbors': 8}",0.1330925813521591
-1.9987699413923448,KNeighborsRegressor,"{'selecter__k': 57, 'regressor__n_neighbors': 2}",0.16602388627417405
-1.9708772894762934,KNeighborsRegressor,"{'selecter__k': 55, 'regressor__n_neighbors': 8}",0.12395803093962234
-2.625715822956014,KNeighborsRegressor,"{'selecter__k': 76, 'regressor__n_neighbors': 1}",0.34620584854814923
-2.087237812621615,KNeighborsRegressor,"{'selecter__k': 66, 'regressor__n_neighbors': 9}",0.14754001737210154
-1.9726192820160875,KNeighborsRegressor,"{'selecter__k': 62, 'regressor__n_neighbors': 7}",0.1775892493453301
-1.8156836558762866,KNeighborsRegressor,"{'selecter__k': 64, 'regressor__n_neighbors': 4}",0.17657681681682866
-1.8955390481936145,KNeighborsRegressor,"{'selecter__k': 81, 'regressor__n_neighbors': 3}",0.1796162513400535
-1.9138304572091869,KNeighborsRegressor,"{'selecter__k': 75, 'regressor__n_neighbors': 4}",0.2210791824385422
-1.8401809637024107,KNeighborsRegressor,"{'selecter__k': 61, 'regressor__n_neighbors': 3}",0.20139398386384402
-1.8677373062978833,KNeighborsRegressor,"{'selecter__k': 86, 'regressor__n_neighbors': 4}",0.1866132579128535
-1.9046845749980241,KNeighborsRegressor,"{'selecter__k': 59, 'regressor__n_neighbors': 3}",0.2150725328019638
-1.956357666672304,KNeighborsRegressor,"{'selecter__k': 53, 'regressor__n_neighbors': 8}",0.10937722451358244
