mean_acc_A,model,params,stdev_acc_A
-93.00553887817681,LinearRegression,{'selecter__k': 1},7.466984563016125
-92.98584115731234,LinearRegression,{'selecter__k': 2},7.221962463115788
-92.22212433462978,LinearRegression,{'selecter__k': 3},6.397015444137746
-92.2983821807169,LinearRegression,{'selecter__k': 4},6.428023964107
-91.64647906596983,LinearRegression,{'selecter__k': 5},6.23404317040052
-91.55663610527606,LinearRegression,{'selecter__k': 6},7.298888903953546
-90.76173375134826,LinearRegression,{'selecter__k': 7},6.469324356110602
-90.60121127772422,LinearRegression,{'selecter__k': 8},6.744049894091091
-90.28355094222732,LinearRegression,{'selecter__k': 9},6.710117843326243
-89.86553919371775,LinearRegression,{'selecter__k': 10},6.817582334869117
-89.32977132340093,LinearRegression,{'selecter__k': 11},7.121875415759635
-88.84808678540334,LinearRegression,{'selecter__k': 12},6.694669296796863
-88.6634330748393,LinearRegression,{'selecter__k': 13},7.034758312280869
-88.65024070922834,LinearRegression,{'selecter__k': 14},7.0947593700509035
-88.58722939150998,LinearRegression,{'selecter__k': 15},7.279715080458656
-88.8674993832297,LinearRegression,{'selecter__k': 16},7.067523338502621
-88.14586489261129,LinearRegression,{'selecter__k': 17},7.055775594215855
-87.81122984411348,LinearRegression,{'selecter__k': 18},7.085575156735366
-87.65361402384029,LinearRegression,{'selecter__k': 19},6.59883808791191
-87.54762863491057,LinearRegression,{'selecter__k': 20},6.24024495265001
-87.44265947384315,LinearRegression,{'selecter__k': 21},6.3102057732731085
-87.34120754307045,LinearRegression,{'selecter__k': 22},6.405478879516092
-87.20293832066191,LinearRegression,{'selecter__k': 23},6.332396224843365
-87.00556947649567,LinearRegression,{'selecter__k': 24},6.610144192086655
-86.99455843067,LinearRegression,{'selecter__k': 25},6.676247936724749
-87.0321296296451,LinearRegression,{'selecter__k': 26},6.613024412100543
-86.90869128016428,LinearRegression,{'selecter__k': 27},6.719276923932308
-86.9888176913924,LinearRegression,{'selecter__k': 28},7.063124197840531
-87.03198419020397,LinearRegression,{'selecter__k': 29},7.0316323667513
-86.9886324289942,LinearRegression,{'selecter__k': 30},7.267622762046853
-87.05459493622516,LinearRegression,{'selecter__k': 31},7.339584846149342
-87.04992675474247,LinearRegression,{'selecter__k': 32},7.104657772211461
-87.20021477911988,LinearRegression,{'selecter__k': 33},7.2382488459047485
-87.15803822598366,LinearRegression,{'selecter__k': 34},7.465767186301482
-86.72263004432968,LinearRegression,{'selecter__k': 35},7.6491541764551805
-86.79253347933442,LinearRegression,{'selecter__k': 36},8.318312879960382
-86.57660274195226,LinearRegression,{'selecter__k': 37},8.452027971565702
-86.2535615574696,LinearRegression,{'selecter__k': 38},8.481065398800563
-85.78292802399442,LinearRegression,{'selecter__k': 39},8.393090747475718
-85.45017923806726,LinearRegression,{'selecter__k': 40},8.677109600673944
-85.15700403016008,LinearRegression,{'selecter__k': 41},8.588600129586386
-84.92908491352618,LinearRegression,{'selecter__k': 42},7.971226658668255
-84.39933204181193,LinearRegression,{'selecter__k': 43},7.660051110054836
-83.86101589160991,LinearRegression,{'selecter__k': 44},7.612148196988902
-83.53953453016624,LinearRegression,{'selecter__k': 45},7.454096978038085
-83.21429466524621,LinearRegression,{'selecter__k': 46},7.154185015083564
-82.88849490399737,LinearRegression,{'selecter__k': 47},7.4984632561656275
-82.96069387716784,LinearRegression,{'selecter__k': 48},7.589104042545251
-82.66845456437683,LinearRegression,{'selecter__k': 49},7.378232933275149
-82.75290197258438,LinearRegression,{'selecter__k': 50},7.320602231700424
-82.5938634812038,LinearRegression,{'selecter__k': 51},7.32448216946896
-82.72942961357288,LinearRegression,{'selecter__k': 52},7.450668546016302
-82.66766750530253,LinearRegression,{'selecter__k': 53},7.470771249535797
-82.56686144420257,LinearRegression,{'selecter__k': 54},7.700981417075449
-82.27491020723092,LinearRegression,{'selecter__k': 55},7.691700996530248
-82.00137453457508,LinearRegression,{'selecter__k': 56},7.679221811917528
-81.82895161443449,LinearRegression,{'selecter__k': 57},7.747656837957812
-82.02583414453939,LinearRegression,{'selecter__k': 58},7.62114812643449
-81.45442189172402,LinearRegression,{'selecter__k': 59},7.3822806606890214
-81.44952806504527,LinearRegression,{'selecter__k': 60},7.363701268135222
-81.11275091545792,LinearRegression,{'selecter__k': 61},7.796639630557396
-81.00891440591984,LinearRegression,{'selecter__k': 62},7.731295983866135
-80.92997855180805,LinearRegression,{'selecter__k': 63},7.909089474694007
-81.01295646738434,LinearRegression,{'selecter__k': 64},7.921942533726356
-80.99417827627715,LinearRegression,{'selecter__k': 65},7.905194492770032
-80.7034393725515,LinearRegression,{'selecter__k': 66},8.183745155213389
-80.33482096074223,LinearRegression,{'selecter__k': 67},7.654717545844407
-80.70203601862795,LinearRegression,{'selecter__k': 68},7.72163484643391
-80.25731134462075,LinearRegression,{'selecter__k': 69},7.8080651273391055
-80.2616617218961,LinearRegression,{'selecter__k': 70},7.777599252915205
-80.03099733943868,LinearRegression,{'selecter__k': 71},7.4931061703633794
-79.95090377502996,LinearRegression,{'selecter__k': 72},7.594659869746733
-79.69517167313587,LinearRegression,{'selecter__k': 73},7.47345585328631
-79.41215944076139,LinearRegression,{'selecter__k': 74},7.210581560360653
-79.39134477129338,LinearRegression,{'selecter__k': 75},7.21556890249133
-79.34883714313732,LinearRegression,{'selecter__k': 76},7.323309486546452
-79.44226904843427,LinearRegression,{'selecter__k': 77},7.624987468439295
-79.66979269664212,LinearRegression,{'selecter__k': 78},7.8777306598194325
-79.36119935920422,LinearRegression,{'selecter__k': 79},7.84259433110011
-79.0976703214003,LinearRegression,{'selecter__k': 80},7.868686813904992
-78.96285177089514,LinearRegression,{'selecter__k': 81},7.842123278428025
-79.2885857861737,LinearRegression,{'selecter__k': 82},7.677958570629101
-78.99378697286912,LinearRegression,{'selecter__k': 83},7.861859895227659
-78.64273507828923,LinearRegression,{'selecter__k': 84},7.91763478596351
-78.54986337181269,LinearRegression,{'selecter__k': 85},7.778310625543059
-78.38422935260542,LinearRegression,{'selecter__k': 86},7.537663982095172
-78.2248387718716,LinearRegression,{'selecter__k': 87},7.155858374991475
