mean_acc_A,model,params,stdev_acc_A
-87.34120754307045,LinearRegression,{'selecter__k': 22},6.405478879516092
-79.2885857861737,LinearRegression,{'selecter__k': 82},7.677958570629101
-87.04992675474247,LinearRegression,{'selecter__k': 32},7.104657772211461
-82.72942961357288,LinearRegression,{'selecter__k': 52},7.450668546016302
-82.88849490399737,LinearRegression,{'selecter__k': 47},7.4984632561656275
-84.92908491352618,LinearRegression,{'selecter__k': 42},7.971226658668255
-92.98584115731234,LinearRegression,{'selecter__k': 2},7.221962463115788
-90.76173375134826,LinearRegression,{'selecter__k': 7},6.469324356110602
-81.82895161443449,LinearRegression,{'selecter__k': 57},7.747656837957812
-86.57660274195226,LinearRegression,{'selecter__k': 37},8.452027971565702
