mean_acc_A,model,params,stdev_acc_A
-49.951392618324604,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 2, 'regressor__estimator__max_features': 34, 'regressor__estimator__max_depth': 33}",2.2302937235006732
-50.431005624652066,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 2, 'regressor__estimator__max_features': 36, 'regressor__estimator__max_depth': 25}",2.142457139398283
-50.37361825538293,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 4, 'regressor__estimator__max_features': 32, 'regressor__estimator__max_depth': 23}",2.2440604350585684
-50.517465867083054,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 4, 'regressor__estimator__max_features': 33, 'regressor__estimator__max_depth': 23}",2.12074951965314
-49.92467066192657,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 2, 'regressor__estimator__max_features': 39, 'regressor__estimator__max_depth': 20}",2.0750290710214934
-50.10492892254713,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 2, 'regressor__estimator__max_features': 42, 'regressor__estimator__max_depth': 24}",2.0700229692533
-49.83175855533221,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 4, 'regressor__estimator__max_features': 34, 'regressor__estimator__max_depth': 34}",1.8691651275884045
-49.832891865200246,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 4, 'regressor__estimator__max_features': 34, 'regressor__estimator__max_depth': 28}",1.872367354323429
-50.090395024120355,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 2, 'regressor__estimator__max_features': 32, 'regressor__estimator__max_depth': 26}",1.8938152869584164
-49.96638463071926,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 3, 'regressor__estimator__max_features': 36, 'regressor__estimator__max_depth': 20}",2.009814925381976
-50.15295056621219,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 3, 'regressor__estimator__max_features': 41, 'regressor__estimator__max_depth': 15}",2.110623403172319
-50.165095648667915,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 4, 'regressor__estimator__max_features': 44, 'regressor__estimator__max_depth': 27}",2.088258011643182
-49.74316788345521,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 2, 'regressor__estimator__max_features': 38, 'regressor__estimator__max_depth': 27}",1.9723087779610964
-50.1381702229775,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 4, 'regressor__estimator__max_features': 36, 'regressor__estimator__max_depth': 27}",2.2533192738595553
-50.293583618746695,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 4, 'regressor__estimator__max_features': 49, 'regressor__estimator__max_depth': 24}",2.1059415189858632
-50.069542952416974,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 4, 'regressor__estimator__max_features': 45, 'regressor__estimator__max_depth': 26}",2.171282077686158
-50.065889324485575,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 4, 'regressor__estimator__max_features': 35, 'regressor__estimator__max_depth': 25}",2.1261026617856666
-50.12059440817497,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 4, 'regressor__estimator__max_features': 37, 'regressor__estimator__max_depth': 34}",2.2820917953863633
-50.037859566370294,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 3, 'regressor__estimator__max_features': 38, 'regressor__estimator__max_depth': 32}",2.1788592168835836
-50.383116241140414,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 4, 'regressor__estimator__max_features': 42, 'regressor__estimator__max_depth': 19}",1.8910621261823826
-50.087950900917505,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 2, 'regressor__estimator__max_features': 32, 'regressor__estimator__max_depth': 27}",1.8758444300055135
-50.48711896302912,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 4, 'regressor__estimator__max_features': 30, 'regressor__estimator__max_depth': 19}",2.3045064268334143
-50.16188029521451,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 4, 'regressor__estimator__max_features': 44, 'regressor__estimator__max_depth': 33}",2.0869072747390565
-50.0570799897767,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 3, 'regressor__estimator__max_features': 47, 'regressor__estimator__max_depth': 33}",2.1262346623622363
-50.0452916898138,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 3, 'regressor__estimator__max_features': 33, 'regressor__estimator__max_depth': 31}",2.0637259028666963
-49.94067648949573,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 3, 'regressor__estimator__max_features': 43, 'regressor__estimator__max_depth': 19}",2.1606649107353726
-50.28073358995663,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 4, 'regressor__estimator__max_features': 43, 'regressor__estimator__max_depth': 19}",2.1841629049479994
-50.109381701960324,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 2, 'regressor__estimator__max_features': 31, 'regressor__estimator__max_depth': 26}",1.7466366753724947
-50.06044482227588,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 3, 'regressor__estimator__max_features': 47, 'regressor__estimator__max_depth': 31}",2.1261438451230004
-50.24435464764792,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 2, 'regressor__estimator__max_features': 48, 'regressor__estimator__max_depth': 32}",2.091700806865626
-50.38446910479858,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 4, 'regressor__estimator__max_features': 30, 'regressor__estimator__max_depth': 24}",2.2476553469483265
-50.489384845158426,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 4, 'regressor__estimator__max_features': 42, 'regressor__estimator__max_depth': 21}",1.9984213792546612
-50.02268928380755,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 3, 'regressor__estimator__max_features': 36, 'regressor__estimator__max_depth': 17}",2.130719011183893
-50.21270511901197,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 4, 'regressor__estimator__max_features': 43, 'regressor__estimator__max_depth': 29}",2.0533803306565153
-50.03343574486015,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 3, 'regressor__estimator__max_features': 47, 'regressor__estimator__max_depth': 26}",2.142764825307617
-50.05430238958469,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 2, 'regressor__estimator__max_features': 43, 'regressor__estimator__max_depth': 18}",2.1599136482579997
-50.094911113448624,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 3, 'regressor__estimator__max_features': 42, 'regressor__estimator__max_depth': 34}",1.9130631861224965
-50.06214804977435,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 3, 'regressor__estimator__max_features': 33, 'regressor__estimator__max_depth': 28}",2.053285249271946
-50.29883211058679,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 4, 'regressor__estimator__max_features': 49, 'regressor__estimator__max_depth': 25}",2.120198794847214
-50.17392940724128,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 2, 'regressor__estimator__max_features': 42, 'regressor__estimator__max_depth': 22}",2.0872471193047715
-49.98788789196224,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 3, 'regressor__estimator__max_features': 45, 'regressor__estimator__max_depth': 33}",2.190686872910666
