mean_acc_A,model,params,stdev_acc_A
-56.15082332475692,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 2, 'regressor__estimator__max_features': 34, 'regressor__estimator__max_depth': 33}",4.052830672772539
-57.20300150800372,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 2, 'regressor__estimator__max_features': 36, 'regressor__estimator__max_depth': 25}",4.0224117189744115
-55.94875687075973,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 4, 'regressor__estimator__max_features': 32, 'regressor__estimator__max_depth': 23}",4.466716099609346
-56.69390293611211,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 4, 'regressor__estimator__max_features': 33, 'regressor__estimator__max_depth': 23}",3.775147505844923
-55.56891624203134,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 2, 'regressor__estimator__max_features': 39, 'regressor__estimator__max_depth': 20}",3.84042635262107
-55.993572576350935,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 2, 'regressor__estimator__max_features': 42, 'regressor__estimator__max_depth': 24}",4.156207250428313
-55.63303170759641,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 4, 'regressor__estimator__max_features': 34, 'regressor__estimator__max_depth': 34}",3.748552024839633
-55.63303170759641,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 4, 'regressor__estimator__max_features': 34, 'regressor__estimator__max_depth': 28}",3.748552024839633
-55.33004717204461,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 2, 'regressor__estimator__max_features': 32, 'regressor__estimator__max_depth': 26}",3.7196213942304657
-55.56478090521498,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 3, 'regressor__estimator__max_features': 36, 'regressor__estimator__max_depth': 20}",4.418003746232908
-55.70660398503267,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 3, 'regressor__estimator__max_features': 41, 'regressor__estimator__max_depth': 15}",3.852845708732355
-56.49259677603582,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 4, 'regressor__estimator__max_features': 44, 'regressor__estimator__max_depth': 27}",3.785410492608098
-55.61830140071106,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 2, 'regressor__estimator__max_features': 38, 'regressor__estimator__max_depth': 27}",3.9132888303704
-56.17878982949852,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 4, 'regressor__estimator__max_features': 36, 'regressor__estimator__max_depth': 27}",4.478812267444475
-56.452281585743236,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 4, 'regressor__estimator__max_features': 49, 'regressor__estimator__max_depth': 24}",3.6232302766346085
-56.11123258443483,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 4, 'regressor__estimator__max_features': 45, 'regressor__estimator__max_depth': 26}",3.9960480298244634
-56.01890057201033,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 4, 'regressor__estimator__max_features': 35, 'regressor__estimator__max_depth': 25}",3.475730474473409
-55.922964091465865,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 4, 'regressor__estimator__max_features': 37, 'regressor__estimator__max_depth': 34}",4.394606978199283
-55.730381789320035,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 3, 'regressor__estimator__max_features': 38, 'regressor__estimator__max_depth': 32}",4.690457636480493
-56.86630549284765,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 4, 'regressor__estimator__max_features': 42, 'regressor__estimator__max_depth': 19}",4.126433402554905
-55.428853538727644,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 2, 'regressor__estimator__max_features': 32, 'regressor__estimator__max_depth': 27}",3.6427215594012723
-56.81085121053946,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 4, 'regressor__estimator__max_features': 30, 'regressor__estimator__max_depth': 19}",4.01704816734869
-56.49496324540229,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 4, 'regressor__estimator__max_features': 44, 'regressor__estimator__max_depth': 33}",3.784428100610539
-56.119367233296025,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 3, 'regressor__estimator__max_features': 47, 'regressor__estimator__max_depth': 33}",4.093477889597712
-56.01557883301245,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 3, 'regressor__estimator__max_features': 33, 'regressor__estimator__max_depth': 31}",4.141469393667954
-56.126076412646356,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 3, 'regressor__estimator__max_features': 43, 'regressor__estimator__max_depth': 19}",4.092622590818763
-56.474020227975714,RandomForestRegressor,"{'regressor__estimator__min_samples_leaf': 4, 'regressor__estimator__max_features': 43, 'regressor__estimator__max_depth': 19}",4.1848489454966815
