mean_acc_A,model,params,stdev_acc_A
-69.47154953160205,RandomForestRegressor,"{'selecter__k': 59, 'regressor__min_samples_leaf': 9, 'regressor__max_depth': 35}",8.680881497427292
-67.28064194314464,RandomForestRegressor,"{'selecter__k': 50, 'regressor__min_samples_leaf': 4, 'regressor__max_depth': 48}",6.945637560814642
-66.70535915610617,RandomForestRegressor,"{'selecter__k': 68, 'regressor__min_samples_leaf': 4, 'regressor__max_depth': 37}",8.909092921542603
-68.73933129554025,RandomForestRegressor,"{'selecter__k': 59, 'regressor__min_samples_leaf': 8, 'regressor__max_depth': 59}",8.91249754184646
-67.62723589049403,RandomForestRegressor,"{'selecter__k': 52, 'regressor__min_samples_leaf': 2, 'regressor__max_depth': 44}",7.315640611811355
-69.68583785790625,RandomForestRegressor,"{'selecter__k': 69, 'regressor__min_samples_leaf': 8, 'regressor__max_depth': 35}",8.16052460912979
-66.69359967261369,RandomForestRegressor,"{'selecter__k': 57, 'regressor__min_samples_leaf': 4, 'regressor__max_depth': 58}",7.143080383020606
-71.47961605852223,RandomForestRegressor,"{'selecter__k': 37, 'regressor__min_samples_leaf': 5, 'regressor__max_depth': 35}",8.795673384609481
-69.88105124553782,RandomForestRegressor,"{'selecter__k': 50, 'regressor__min_samples_leaf': 8, 'regressor__max_depth': 37}",8.125937528748153
-72.08896608882718,RandomForestRegressor,"{'selecter__k': 37, 'regressor__min_samples_leaf': 7, 'regressor__max_depth': 55}",8.505737788224332
-70.71821624639314,RandomForestRegressor,"{'selecter__k': 45, 'regressor__min_samples_leaf': 8, 'regressor__max_depth': 46}",8.177490744522341
-69.58854055929342,RandomForestRegressor,"{'selecter__k': 68, 'regressor__min_samples_leaf': 8, 'regressor__max_depth': 59}",8.537314359161124
-70.93396375995117,RandomForestRegressor,"{'selecter__k': 40, 'regressor__min_samples_leaf': 6, 'regressor__max_depth': 56}",8.32180208591665
-72.08896608882718,RandomForestRegressor,"{'selecter__k': 37, 'regressor__min_samples_leaf': 7, 'regressor__max_depth': 40}",8.505737788224332
-67.65684658085557,RandomForestRegressor,"{'selecter__k': 52, 'regressor__min_samples_leaf': 3, 'regressor__max_depth': 52}",7.363331079831929
-72.40518483696503,RandomForestRegressor,"{'selecter__k': 34, 'regressor__min_samples_leaf': 4, 'regressor__max_depth': 47}",6.4752745958425715
-72.71502928679277,RandomForestRegressor,"{'selecter__k': 37, 'regressor__min_samples_leaf': 3, 'regressor__max_depth': 57}",8.855613842843182
-72.71502928679277,RandomForestRegressor,"{'selecter__k': 37, 'regressor__min_samples_leaf': 3, 'regressor__max_depth': 33}",8.855613842843182
