mean_acc_A,model,params,stdev_acc_A
-2.3904827704087706,RandomForestRegressor,"{'selecter__k': 72, 'regressor__min_samples_leaf': 9, 'regressor__max_depth': 47}",0.12871532101413302
-2.332137747502149,RandomForestRegressor,"{'selecter__k': 80, 'regressor__min_samples_leaf': 2, 'regressor__max_depth': 44}",0.21424917068683746
-2.2831885260152687,RandomForestRegressor,"{'selecter__k': 80, 'regressor__min_samples_leaf': 7, 'regressor__max_depth': 53}",0.14888815190303192
-2.2368886983848464,RandomForestRegressor,"{'selecter__k': 87, 'regressor__min_samples_leaf': 2, 'regressor__max_depth': 53}",0.17138884702271676
-2.315855291579987,RandomForestRegressor,"{'selecter__k': 76, 'regressor__min_samples_leaf': 5, 'regressor__max_depth': 47}",0.1154445596674124
-2.315855291579987,RandomForestRegressor,"{'selecter__k': 76, 'regressor__min_samples_leaf': 5, 'regressor__max_depth': 51}",0.1154445596674124
-2.2878089510223694,RandomForestRegressor,"{'selecter__k': 83, 'regressor__min_samples_leaf': 2, 'regressor__max_depth': 49}",0.20480916189803555
-2.250207446459217,RandomForestRegressor,"{'selecter__k': 86, 'regressor__min_samples_leaf': 7, 'regressor__max_depth': 42}",0.1392041362875624
-2.2357492767924643,RandomForestRegressor,"{'selecter__k': 85, 'regressor__min_samples_leaf': 2, 'regressor__max_depth': 59}",0.19257510186150859
-2.226324898406494,RandomForestRegressor,"{'selecter__k': 88, 'regressor__min_samples_leaf': 5, 'regressor__max_depth': 58}",0.16870327013880634
-2.3002330543221676,RandomForestRegressor,"{'selecter__k': 76, 'regressor__min_samples_leaf': 3, 'regressor__max_depth': 52}",0.1470245552675771
-2.3142714723960616,RandomForestRegressor,"{'selecter__k': 72, 'regressor__min_samples_leaf': 6, 'regressor__max_depth': 50}",0.11656060586173361
-2.336876241368367,RandomForestRegressor,"{'selecter__k': 71, 'regressor__min_samples_leaf': 5, 'regressor__max_depth': 53}",0.12313089169135787
-2.255782786714753,RandomForestRegressor,"{'selecter__k': 81, 'regressor__min_samples_leaf': 4, 'regressor__max_depth': 57}",0.16516875069309203
-2.2997816686239445,RandomForestRegressor,"{'selecter__k': 76, 'regressor__min_samples_leaf': 2, 'regressor__max_depth': 57}",0.18044570788941208
-2.2897376181030076,RandomForestRegressor,"{'selecter__k': 72, 'regressor__min_samples_leaf': 4, 'regressor__max_depth': 47}",0.14007111232442837
-2.307151088726938,RandomForestRegressor,"{'selecter__k': 77, 'regressor__min_samples_leaf': 5, 'regressor__max_depth': 46}",0.14021227858120414
-2.3526108309530858,RandomForestRegressor,"{'selecter__k': 78, 'regressor__min_samples_leaf': 8, 'regressor__max_depth': 49}",0.14153597819225738
-2.3750065111230376,RandomForestRegressor,"{'selecter__k': 76, 'regressor__min_samples_leaf': 8, 'regressor__max_depth': 58}",0.1301118467803368
-2.2195631687710424,RandomForestRegressor,"{'selecter__k': 88, 'regressor__min_samples_leaf': 4, 'regressor__max_depth': 54}",0.1750157619945065
-2.369674871048917,RandomForestRegressor,"{'selecter__k': 72, 'regressor__min_samples_leaf': 8, 'regressor__max_depth': 57}",0.14410006731926558
-2.2643870389801544,RandomForestRegressor,"{'selecter__k': 88, 'regressor__min_samples_leaf': 9, 'regressor__max_depth': 55}",0.1665397549164183
-2.22385911368441,RandomForestRegressor,"{'selecter__k': 87, 'regressor__min_samples_leaf': 4, 'regressor__max_depth': 41}",0.14848346805430446
-2.3302381197827993,RandomForestRegressor,"{'selecter__k': 82, 'regressor__min_samples_leaf': 9, 'regressor__max_depth': 42}",0.14797693156460462
-2.3077386340841524,RandomForestRegressor,"{'selecter__k': 82, 'regressor__min_samples_leaf': 8, 'regressor__max_depth': 56}",0.14923870295374828
-2.211430295427679,RandomForestRegressor,"{'selecter__k': 88, 'regressor__min_samples_leaf': 3, 'regressor__max_depth': 48}",0.16665765199728996
-2.32218960590935,RandomForestRegressor,"{'selecter__k': 73, 'regressor__min_samples_leaf': 7, 'regressor__max_depth': 49}",0.12986274541316306
-2.291177901566048,RandomForestRegressor,"{'selecter__k': 75, 'regressor__min_samples_leaf': 4, 'regressor__max_depth': 55}",0.13938856848933884
-2.3108290633519286,RandomForestRegressor,"{'selecter__k': 75, 'regressor__min_samples_leaf': 3, 'regressor__max_depth': 50}",0.13687556685803726
-2.301331098626402,RandomForestRegressor,"{'selecter__k': 79, 'regressor__min_samples_leaf': 3, 'regressor__max_depth': 59}",0.13037328706308596
-2.2920175552240045,RandomForestRegressor,"{'selecter__k': 80, 'regressor__min_samples_leaf': 6, 'regressor__max_depth': 47}",0.1444150970758408
-2.3912195025515905,RandomForestRegressor,"{'selecter__k': 74, 'regressor__min_samples_leaf': 9, 'regressor__max_depth': 45}",0.13027596060907096
-2.283405918054118,RandomForestRegressor,"{'selecter__k': 82, 'regressor__min_samples_leaf': 2, 'regressor__max_depth': 58}",0.21479580157847686
-2.2759068411526457,RandomForestRegressor,"{'selecter__k': 81, 'regressor__min_samples_leaf': 6, 'regressor__max_depth': 59}",0.14640010096387765
-2.2643870389801544,RandomForestRegressor,"{'selecter__k': 88, 'regressor__min_samples_leaf': 9, 'regressor__max_depth': 58}",0.1665397549164183
-2.3051043507007964,RandomForestRegressor,"{'selecter__k': 81, 'regressor__min_samples_leaf': 8, 'regressor__max_depth': 48}",0.14164670298588117
-2.3334968302860233,RandomForestRegressor,"{'selecter__k': 74, 'regressor__min_samples_leaf': 7, 'regressor__max_depth': 41}",0.1302239115834206
-2.3526108309530858,RandomForestRegressor,"{'selecter__k': 78, 'regressor__min_samples_leaf': 8, 'regressor__max_depth': 58}",0.14153597819225738
-2.2475335596388977,RandomForestRegressor,"{'selecter__k': 85, 'regressor__min_samples_leaf': 3, 'regressor__max_depth': 48}",0.17618247704567758
-2.2871884279472092,RandomForestRegressor,"{'selecter__k': 80, 'regressor__min_samples_leaf': 3, 'regressor__max_depth': 42}",0.1638659902385707
-2.2894431251552025,RandomForestRegressor,"{'selecter__k': 85, 'regressor__min_samples_leaf': 8, 'regressor__max_depth': 51}",0.14790312430343006
-2.2675742520401356,RandomForestRegressor,"{'selecter__k': 85, 'regressor__min_samples_leaf': 7, 'regressor__max_depth': 52}",0.15043283042905162
-2.291177901566048,RandomForestRegressor,"{'selecter__k': 75, 'regressor__min_samples_leaf': 4, 'regressor__max_depth': 40}",0.13938856848933884
-2.3159731751408024,RandomForestRegressor,"{'selecter__k': 80, 'regressor__min_samples_leaf': 8, 'regressor__max_depth': 40}",0.14892908153678777
-2.311853150472418,RandomForestRegressor,"{'selecter__k': 78, 'regressor__min_samples_leaf': 6, 'regressor__max_depth': 52}",0.10505082949642258
