mean_acc_A,model,params,stdev_acc_A
-84.92127474698316,Ridge,{'selecter__k': 42},7.934474393662023
-82.8126216754544,Ridge,{'selecter__k': 47},7.510053373257269
-86.90133897923255,Ridge,{'selecter__k': 27},6.7077036602046025
-86.54258568480387,Ridge,{'selecter__k': 37},8.412216720670484
-87.03138312400762,Ridge,{'selecter__k': 32},7.094994872891985
-80.91597618562407,Ridge,{'selecter__k': 62},7.625365647092436
-92.98523966027211,Ridge,{'selecter__k': 2},7.222339971551183
-79.82448045081621,Ridge,{'selecter__k': 72},7.551980961521693
-81.71770233294916,Ridge,{'selecter__k': 57},7.596529902923359
-87.3344023892829,Ridge,{'selecter__k': 22},6.395122685817758
