mean_acc_A,model,params,stdev_acc_A
-2.9852158795870154,SVRrbf,"{'selecter__k': 51, 'regressor__kernel': 'rbf', 'regressor__gamma': 0.001, 'regressor__C': 1.0}",0.204082844507406
-2.0959902878638323,SVRrbf,"{'selecter__k': 65, 'regressor__kernel': 'rbf', 'regressor__gamma': 0.001, 'regressor__C': 1000.0}",0.24778073708074694
-3.660616944328774,SVRrbf,"{'selecter__k': 75, 'regressor__kernel': 'rbf', 'regressor__gamma': 1.0, 'regressor__C': 1000.0}",0.2545310627080509
-3.660648522927679,SVRrbf,"{'selecter__k': 52, 'regressor__kernel': 'rbf', 'regressor__gamma': 1000.0, 'regressor__C': 100.0}",0.25453610016264305
-3.659086453717548,SVRrbf,"{'selecter__k': 66, 'regressor__kernel': 'rbf', 'regressor__gamma': 10.0, 'regressor__C': 0.001}",0.2523106625356419
-3.660648522927679,SVRrbf,"{'selecter__k': 69, 'regressor__kernel': 'rbf', 'regressor__gamma': 1000.0, 'regressor__C': 100.0}",0.25453610016264305
-3.660648522927679,SVRrbf,"{'selecter__k': 73, 'regressor__kernel': 'rbf', 'regressor__gamma': 100.0, 'regressor__C': 100.0}",0.25453610016264305
-2.802070403036814,SVRrbf,"{'selecter__k': 80, 'regressor__kernel': 'rbf', 'regressor__gamma': 0.10000000000000001, 'regressor__C': 100.0}",0.22873115660214027
-1.8191078884714464,SVRrbf,"{'selecter__k': 60, 'regressor__kernel': 'rbf', 'regressor__gamma': 0.01, 'regressor__C': 1000.0}",0.16233654735476535
-3.660648522927679,SVRrbf,"{'selecter__k': 62, 'regressor__kernel': 'rbf', 'regressor__gamma': 1000.0, 'regressor__C': 1000.0}",0.25453610016264305
-3.6593588119040863,SVRrbf,"{'selecter__k': 85, 'regressor__kernel': 'rbf', 'regressor__gamma': 100.0, 'regressor__C': 0.01}",0.2522440157821712
-3.660648522927679,SVRrbf,"{'selecter__k': 56, 'regressor__kernel': 'rbf', 'regressor__gamma': 10.0, 'regressor__C': 10.0}",0.25453610016264305
-3.6343304046850586,SVRrbf,"{'selecter__k': 66, 'regressor__kernel': 'rbf', 'regressor__gamma': 0.01, 'regressor__C': 0.001}",0.25135167180258333
-1.548389114227633,SVRrbf,"{'selecter__k': 87, 'regressor__kernel': 'rbf', 'regressor__gamma': 0.01, 'regressor__C': 1000.0}",0.15134399980618982
-3.661334844446356,SVRrbf,"{'selecter__k': 55, 'regressor__kernel': 'rbf', 'regressor__gamma': 1.0, 'regressor__C': 1.0}",0.25225137911738854
-2.308326012203141,SVRrbf,"{'selecter__k': 60, 'regressor__kernel': 'rbf', 'regressor__gamma': 0.10000000000000001, 'regressor__C': 10.0}",0.17482292052791937
-3.6593588119040863,SVRrbf,"{'selecter__k': 50, 'regressor__kernel': 'rbf', 'regressor__gamma': 10.0, 'regressor__C': 0.01}",0.2522440157821712
-3.6536423895236667,SVRrbf,"{'selecter__k': 85, 'regressor__kernel': 'rbf', 'regressor__gamma': 0.10000000000000001, 'regressor__C': 0.01}",0.25184690694260425
-3.656333801875097,SVRrbf,"{'selecter__k': 50, 'regressor__kernel': 'rbf', 'regressor__gamma': 0.10000000000000001, 'regressor__C': 0.001}",0.2521637843257741
-3.6598680412769107,SVRrbf,"{'selecter__k': 54, 'regressor__kernel': 'rbf', 'regressor__gamma': 100.0, 'regressor__C': 0.10000000000000001}",0.2524966538499251
-3.660648522927679,SVRrbf,"{'selecter__k': 67, 'regressor__kernel': 'rbf', 'regressor__gamma': 10.0, 'regressor__C': 100.0}",0.25453610016264305
-3.6593588119040863,SVRrbf,"{'selecter__k': 75, 'regressor__kernel': 'rbf', 'regressor__gamma': 100.0, 'regressor__C': 0.01}",0.2522440157821712
-3.660648522927679,SVRrbf,"{'selecter__k': 55, 'regressor__kernel': 'rbf', 'regressor__gamma': 1000.0, 'regressor__C': 100.0}",0.25453610016264305
-3.660648522927679,SVRrbf,"{'selecter__k': 69, 'regressor__kernel': 'rbf', 'regressor__gamma': 10.0, 'regressor__C': 10.0}",0.25453610016264305
-3.660648522927679,SVRrbf,"{'selecter__k': 81, 'regressor__kernel': 'rbf', 'regressor__gamma': 10.0, 'regressor__C': 100.0}",0.25453610016264305
-3.661426844148481,SVRrbf,"{'selecter__k': 80, 'regressor__kernel': 'rbf', 'regressor__gamma': 1000.0, 'regressor__C': 1.0}",0.2522488712440471
-3.2077667030948467,SVRrbf,"{'selecter__k': 85, 'regressor__kernel': 'rbf', 'regressor__gamma': 0.10000000000000001, 'regressor__C': 1.0}",0.221310667921362
-3.660648522927679,SVRrbf,"{'selecter__k': 76, 'regressor__kernel': 'rbf', 'regressor__gamma': 100.0, 'regressor__C': 1000.0}",0.25453610016264305
-3.6593588119040863,SVRrbf,"{'selecter__k': 84, 'regressor__kernel': 'rbf', 'regressor__gamma': 100.0, 'regressor__C': 0.01}",0.2522440157821712
-3.6598680412769107,SVRrbf,"{'selecter__k': 69, 'regressor__kernel': 'rbf', 'regressor__gamma': 1000.0, 'regressor__C': 0.10000000000000001}",0.2524966538499251
