name,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,spkID,attractiveness,compliance,confidence,maturity,warmth,gender
'm004_linden_d5_01.wav',28.08284,0.1699435,25.43411,27.735440000000004,30.31578,4.8816739999999985,105.9839,176.2514,81.98295999999998,97.87568,0.33924,0.880639,0.04902005,0.29124570000000005,0.5674399999999999,0.51842,7.560553,4.765484,6.289804,4.05389,0.1944986,0.9644707,20.86479,0.8975993,10.48203,1.278267,17.07788,0.7775850999999999,8.217805,1.474979,0.04553619,1.258236,1.6582279999999998,0.9131192,5.634983999999998,0.6422549,6.137377,1.920361,25.67142,0.4837866,477.1191,0.4348269,1232.739,0.2216098,-95.46759,-0.9419258,1437.466,0.1790999,954.6222,0.32867090000000004,-100.0617,-0.8285415999999999,2514.081,0.1088271,720.3229,0.4385277,-104.0354,-0.7610766999999999,-17.754479999999994,-0.5543858,28.75109,0.3319193,-0.01376835,-2.935736,-0.0053796980000000005,-2.026475,0.28078059999999994,0.6414738,32.11216,0.4654392,9.564242,1.462374,19.73801,0.7414546999999999,5.820333,2.311995,-17.321839999999998,27.59616,-0.03292672,0.009961462,0.09162655,3.212217,2.639916,0.2078,0.1824532,0.1697727,0.2660698,-34.3574,4,-0.5793014395964571,-0.9219179979934108,0.608503175257744,0.27657955964979397,-0.284637556611903,m
'm004_linden_d5_02.wav',29.21186,0.146199,26.25266,28.60018,32.33617,6.083513,161.3336,330.3792,362.5878,877.3813,0.2354428,1.109321,0.0299868,0.1229479,0.4367566,0.4067698,5.6928839999999985,3.127654,4.695809,2.740692,0.1330141,1.185447,15.62976,1.070881,10.9147,1.127766,15.987420000000002,0.8526434000000002,10.48624,0.9544476,0.05587547,1.26366,1.564176,0.9317336,6.520905,0.5510345999999999,8.281207,1.220423,27.09638,0.4185815,475.5616,0.4273145,1204.775,0.2187131,-134.2181,-0.6535404,1483.753,0.1807747,910.4904,0.4044105,-136.8023,-0.5902798,2553.881,0.1157255,763.9845,0.398616,-138.9343,-0.5590496,-19.29514,-0.5322063,29.88002,0.33304179999999994,0.001420946,28.17166,-0.00612702,-1.912553,0.2826687,0.5679668999999999,31.8268,0.4183029,12.16717,1.24665,21.63622,0.7832636,8.697378,1.231902,-19.36867,29.902490000000004,-0.02359261,0.01181835,0.05418028,2.580306,1.636748,0.2193548,0.1085962,0.3958621,0.4504061,-35.82156,4,-0.5793014395964571,-0.9219179979934108,0.608503175257744,0.27657955964979397,-0.284637556611903,m
'm004_linden_d5_03.wav',27.414590000000004,0.1464609,25.12015,27.25206,29.64788,4.527731,342.772,426.5529,39.16091,19.70271,0.2147587,1.113278,0.01218794,0.1122002,0.4078567,0.3956688,4.881171,3.3924220000000003,4.754324,3.559353,0.1020211,1.244728,17.486420000000006,1.084592,12.11252,0.9734341,14.68583,0.8289234000000001,10.62689,1.0250290000000002,0.05370814,2.060453,1.286738,1.048077,6.533453,0.5470351999999999,7.019286,1.142786,29.90086,0.31161890000000003,465.1509,0.4021759,1216.635,0.1902203,-122.74700000000001,-0.7405674,1433.979,0.1922417,994.8072,0.3323723,-127.0928,-0.6622916999999999,2458.058,0.1231617,821.8821,0.4459645,-130.6832,-0.610322,-20.55908,-0.4484251,31.58087,0.2789204,-0.009073911,-4.221104,-0.008059545,-1.209855,0.1952785,0.698287,35.147659999999995,0.3645842,13.66138,1.0222790000000002,18.78249,0.7437776,9.373468,1.331948,-21.07998,31.60965,-0.004338089,0.01364697,0.04464494,2.317009,1.319958,0.316,0.22256679999999995,0.405,0.5218771,-37.40793,4,-0.5793014395964571,-0.9219179979934108,0.608503175257744,0.27657955964979397,-0.284637556611903,m
'm004_linden_d6_01.wav',29.947370000000006,0.2330936,25.88278,28.73153,33.04972,7.166939,610.2223,1059.583,296.6494,754.1226,0.2954991,1.174808,0.01665209,0.1542122,0.5399875,0.5233354,9.255349,6.025841000000002,8.748433,6.276146,0.1648811,1.246007,16.31714,1.055963,10.55491,1.176308,16.74906,0.7762420999999999,8.536186,1.439726,0.05238981,1.898441,1.49763,0.9453292,6.31727,0.5654346,7.257745,1.950907,25.22014,0.6222723000000001,493.0581,0.4291856,1196.168,0.2004254,-121.228,-0.7461005,1502.215,0.1836247,917.3724,0.384826,-123.0263,-0.6794584,2568.578,0.12519080000000002,768.8453,0.3418071,-124.8466,-0.6527261999999999,-17.83539,-0.6462471,27.46957,0.4432814000000001,-0.002587477,-17.27996,-0.004691172,-2.030514,0.3058763,0.724816,29.88575,0.4935834,10.11693,1.453422,22.369770000000006,0.6283273,6.558725,2.212867,-20.90722,31.4132,-0.004427965,0.01256114,0.06789915,3.002502,1.926298,0.2252174,0.2399614,0.2980952,0.4359731,-34.831509999999994,4,-0.5793014395964571,-0.9219179979934108,0.608503175257744,0.27657955964979397,-0.284637556611903,m
'm004_linden_d6_02.wav',28.33939,0.1558543,26.59186,27.62675,29.42818,2.836321,101.7909,133.901,511.3976,930.2193,0.2623547,1.004766,0.03117549,0.17218870000000006,0.5312736,0.5000981,5.817455000000002,3.280714,4.325913,3.312272,0.1193414,1.095538,18.89193,0.9235956,8.943319,1.326129,16.96881,0.8070843000000001,10.42909,1.041053,0.04254961,2.274645,1.260556,1.003355,6.662496000000001,0.5515804,5.632203,1.915028,25.54487,0.3989368,460.2139,0.4074858,1164.049,0.1629205,-116.9994,-0.7935532,1475.316,0.1933187,888.6429,0.4074856,-120.9863,-0.7071651,2487.026,0.11805,806.1569,0.4056955,-123.8717,-0.6639136,-17.73562,-0.5344137,27.66137,0.3529051,0.006200382,6.208042,-0.008132875,-1.334016,0.2179768,0.6069203000000001,34.31893,0.3107979,7.6682320000000015,1.761797,20.78991,0.7955736,7.408428,1.5399969999999998,-19.85076,30.46658,-0.02085797,0.01218358,0.04735089,2.335279,1.5075379999999998,0.2916667,0.2116929,0.3516667,0.5671199,-36.51175,4,-0.5793014395964571,-0.9219179979934108,0.608503175257744,0.27657955964979397,-0.284637556611903,m
'm004_linden_d6_03.wav',28.63982,0.1696578,25.39114,28.106790000000004,31.2902,5.899057,467.0735,1053.31,62.14781,65.03965,0.2178319,1.269022,0.01459358,0.08641443,0.3782288,0.3636352000000001,6.071288,4.458462,6.205131,5.116619,0.1207641,1.337104,14.32087,1.276622,10.96668,1.160156,16.70564,0.7705318,10.60534,0.973975,0.04781669,0.887813,1.437154,0.9118695,5.925618,0.6733520000000001,6.023713,1.207557,25.66027,0.4026811,490.2087,0.4001946,1163.083,0.2037945,-136.8119,-0.6323194999999999,1501.306,0.17750220000000005,931.4336,0.3896751,-139.0079,-0.5790451999999999,2504.467,0.1352902,827.2718,0.503067,-140.3595,-0.5586930999999999,-18.91735,-0.568905,27.90465,0.4061157,-0.00489843,-8.530737,-0.009628943,-1.186741,0.2646323,0.6704699000000001,32.248000000000005,0.4596865,10.83914,1.402062,24.29736,0.610042,10.55741,1.121235,-19.62515,30.45644,-0.01233585,0.0121714,0.05512963,2.418682,1.59129,0.2147368,0.1015858,0.4116667000000001,0.51432,-37.03911,4,-0.5793014395964571,-0.9219179979934108,0.608503175257744,0.27657955964979397,-0.284637556611903,m
'm004_linden_d7_01.wav',28.85513,0.17328929999999998,26.0137,28.33247,31.57686,5.563164,98.96441,123.7941,83.9187,67.09715,0.2521863,1.06246,0.01988312,0.146899,0.48908,0.4691969,6.457191000000001,3.928825,5.196751,3.858335,0.13380720000000002,1.16536,18.30833,0.9498159,11.13721,1.055259,17.46336,0.7424861999999999,10.17544,1.182763,0.05503591,1.864841,1.321402,0.9948493,6.818031,0.5061800999999999,6.3595,1.682405,26.65134,0.421346,478.1747,0.4480959,1187.163,0.2003263,-117.87700000000001,-0.7747590999999999,1466.558,0.1805303,898.6331,0.33956970000000003,-119.9771,-0.7008258,2535.408,0.1271246,747.4311,0.3936469,-122.8374,-0.6573403,-19.03848,-0.5183502999999999,28.85792,0.3591623,0.002452913,17.933220000000006,-0.003712888,-2.785167,0.2389273,0.6635344,31.9282,0.4216294,11.31047,1.164269,22.81244,0.5737846999999999,8.504512,1.61816,-20.9128,31.56547,-0.002553164,0.01396965,0.05786348,2.7663330000000004,1.831069,0.2435484,0.1668213,0.289,0.4519908,-36.07296,4,-0.5793014395964571,-0.9219179979934108,0.608503175257744,0.27657955964979397,-0.284637556611903,m
'm004_linden_d7_02.wav',29.0132,0.1866968,24.9472,28.52788,31.98311,7.035902,240.3386,323.8224,58.24141,40.18232,0.2255438,1.151487,0.00173678,0.09293582,0.4702392,0.4685024,5.661389,4.110811,5.524592,3.835404,0.1119521,1.230417,16.6257,1.080495,9.532575,1.2196870000000002,15.41912,0.8525468,9.368121,1.2177360000000002,0.04989081,1.439255,1.444055,1.044547,6.46697,0.6029169,6.15029,1.187847,24.6929,0.4312928,497.8973,0.4543709,1232.578,0.2146766,-128.5831,-0.6881044,1488.458,0.205787,959.8102,0.3526191,-129.4069,-0.6449531,2528.471,0.1334462,805.6351,0.4225059000000001,-132.0049,-0.6079386999999999,-17.94687,-0.5786167,28.29922,0.3536718,-0.007661683000000002,-5.325751,-0.00452415,-2.6805060000000003,0.2236315,0.6081358,33.36199000000001,0.4010676,8.196529,1.649301,21.6306,0.6720510999999999,7.574205,1.694611,-21.59053,32.3949,0.008258539,0.01553401,0.04920712,2.648617,1.712936,0.2303448,0.13545539999999998,0.386,0.5666392,-36.39981,4,-0.5793014395964571,-0.9219179979934108,0.608503175257744,0.27657955964979397,-0.284637556611903,m
'm004_linden_d7_03.wav',27.78066,0.1439584,25.15025,27.78251,30.86454,5.714291,208.5611,239.8551,93.48894,140.3563,0.265313,0.9007086999999999,0.03853427,0.2361584,0.4624155,0.4238812,5.558897,3.541552,3.967545,2.932595,0.1337195,1.014421,19.34915,0.9620186,10.57375,1.17361,16.5415,0.7759510000000001,10.48688,1.0060440000000002,0.04635749,1.886783,1.215982,0.9947573,6.507999999999999,0.5537139,6.653366,1.301393,27.78266,0.3573574,466.1326,0.4177544,1184.049,0.1815884,-110.1597,-0.8279558000000001,1444.73,0.1923375,944.0815,0.3508462,-115.5342,-0.7310853,2453.9,0.12358310000000003,798.9072,0.4873245,-119.3104,-0.6740234,-18.84608,-0.5283715999999999,29.82684,0.305763,-0.006410453000000001,-5.508492,-0.005372887,-1.951134,0.22423720000000005,0.5968694,34.25067,0.35770820000000003,10.54905,1.357724,21.60231,0.6762163,9.145365,1.271335,-18.23783,29.09635,-0.02761537,0.0117183,0.05582349,2.7663330000000004,1.829988,0.2574193,0.2045131,0.2763333,0.4073122,-36.28551,4,-0.5793014395964571,-0.9219179979934108,0.608503175257744,0.27657955964979397,-0.284637556611903,m
'm004_linden_d8_01.wav',28.775170000000006,0.1399655,25.89676,28.57321,31.109440000000006,5.212687,83.86028,98.86864,58.08905,73.19157,0.2819662,0.890224,0.02537294,0.252537,0.5136219,0.4882489,5.554255,2.699033,5.179755,3.741337,0.1367235,1.029011,20.98923,0.9526243,9.988316,1.110599,13.36457,0.8873109,9.060109,1.159547,0.04567741,1.596718,1.185248,1.039608,6.723244,0.4768598,6.391828,1.057513,27.01483,0.3422612,456.0948,0.3797568,1223.435,0.1788595,-102.4405,-0.8987451,1411.02,0.1748568,951.8748,0.3183742,-106.4513,-0.8011419,2446.549,0.1214523,765.3372,0.3419751,-110.5719,-0.7342549,-18.87959,-0.4792220999999999,29.63962,0.2946829,-0.003296614,-11.27369,-0.007963567,-1.360638,0.2217765,0.5886508,36.28259,0.3384631,10.25691,1.1736879999999998,16.066760000000002,0.8202788000000001,9.147717,1.252983,-17.52511,28.0213,4.3409540000000015e-05,0.01410772,0.05289209999999999,3.548681,1.6453380000000002,0.3177778,0.2586193,0.2841176,0.3735215,-35.84321,4,-0.5793014395964571,-0.9219179979934108,0.608503175257744,0.27657955964979397,-0.284637556611903,m
